,prices,locations,other
26,      R$ 302.900    ," Rua Dois de Julho, 251 - Santo Amaro, Recife - PE ",   58   Área m²     2   Quartos     1   Suíte     1   Banheiro     1   Vaga   
27,      R$ 275.000    ," Avenida República do Líbano, 560 - Pina, Recife - PE ",   34   Área m²     1   Quarto     --   Suíte     1   Banheiro     1   Vaga   
28,      R$ 220.000    ," Rua Japecanga, Apto. 203 - Prado, Recife - PE ",   67   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
29,      R$ 420.000    ," Encruzilhada, Recife - PE ",   60   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
30,      R$ 1.106.000    ," Rua Félix de Brito Melo, 202 - Boa Viagem, Recife - PE ",   154   Área m²     4   Quartos     4   Suítes     4   Banheiros     2   Vagas   
31,      R$ 720.000    ," Rua Bruno Veloso, 422 - Boa Viagem, Recife - PE ",   170   Área m²     3   Quartos     1   Suíte     1   Banheiro     2   Vagas   
32,      R$ 340.000    ," Rua Jonathas de Vasconcelos, 427 - Boa Viagem, Recife - PE ",   54   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
33,      R$ 670.000    ," Rua Gervásio Fioravante - Graças, Recife - PE ",   80   Área m²     3   Quartos     1   Suíte     3   Banheiros     2   Vagas   
34,      R$ 709.999    ," Rua Caio Pereira, 225 - Rosarinho, Recife - PE ",   100   Área m²     3   Quartos     1   Suíte     2   Banheiros     2   Vagas   
35,      R$ 400.000    ," Avenida Engenheiro Domingos Ferreira, 2842 - Boa Viagem, Recife - PE ",   54   Área m²     2   Quartos     1   Suíte     3   Banheiros     1   Vaga   
36,      R$ 1.700.000    ," Avenida Dezessete de Agosto, 2720 - Casa Forte, Recife - PE ",   207   Área m²     4   Quartos     4   Suítes     5   Banheiros     3   Vagas   
37,    Sob Consulta   ," Rua Eurico de Souza Leão, 541 - Cordeiro, Recife - PE ",   55-73   Área m²     1-3   Quartos     1   Banheiro     1-2   Vagas   
38,      R$ 780.000    ," Rua Wilfrid Rússel Shorto, 61 - Boa Viagem, Recife - PE ",   250   Área m²     4   Quartos     2   Suítes     4   Banheiros     1   Vaga   
39,      R$ 450.000    ," Estrada do Encanamento, 1342 - Casa Forte, Recife - PE ",   82   Área m²     3   Quartos     1   Suíte     3   Banheiros     2   Vagas   
40,      R$ 350.000    ," Rua Doutor Luiz Inácio Pessoa de Melo, 81 - Boa Viagem, Recife - PE ",   70   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
41,      R$ 620.000    ," Rua Benjamin Constant, 122 - Torre, Recife - PE ",   88   Área m²     3   Quartos     1   Suíte     2   Banheiros     2   Vagas   
42,      R$ 429.000    ," Rua da Angustura, 195 - Aflitos, Recife - PE ",   75   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
43,      R$ 400.000    ," Rua Arnaldo Bastos - Madalena, Recife - PE ",   48   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
44,      R$ 520.000    ," Rua Ernani Braga, 109 - Madalena, Recife - PE ",   84   Área m²     3   Quartos     2   Banheiros     2   Vagas   
45,      R$ 275.000    ," Rua Manuel de Barros Lima, 173 - Campo Grande, Recife - PE ",   76   Área m²     3   Quartos     1   Suíte     1   Banheiro     1   Vaga   
46,      R$ 1.550.000    ," Rua Doutor João Santos Filho, 250 - Parnamirim, Recife - PE ",   203   Área m²     4   Quartos     4   Suítes     5   Banheiros     3   Vagas   
47,      R$ 590.000    ," Rua do Futuro, 305 - Graças, Recife - PE ",   110   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
48,      R$ 399.000    ," Avenida Santos Dumont, 1500 - Ponto de Parada, Recife - PE ",   65   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
49,      R$ 350.000    ," Rua Jorge Couceiro da Costa Eiras, 443 - Boa Viagem, Recife - PE ",   67   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
50,      R$ 1.100.000    ," Rua Guilherme Salazar, 150 - Poço, Recife - PE ",   130   Área m²     3   Quartos     3   Suítes     5   Banheiros     2   Vagas   
51,      R$ 630.000    ," Rua Real da Torre, 1275 - Madalena, Recife - PE ",   96   Área m²     3   Quartos     2   Banheiros     2   Vagas   
52,      R$ 1.500.000    ," Avenida Boa Viagem, 1616 - Boa Viagem, Recife - PE ",   223   Área m²     3   Quartos     2   Suítes     2   Banheiros     --   Vaga   
53,      R$ 950.000    ," Rua Padre Roma, 669 - Parnamirim, Recife - PE ",   132   Área m²     3   Quartos     2   Suítes     3   Banheiros     2   Vagas   
54,      R$ 99.999.999    ," Rua Le Parc, 100 - Imbiribeira, Recife - PE ",   141   Área m²     4   Quartos     4   Suítes     5   Banheiros     2   Vagas   
55,      R$ 400.000    ," Estrada do Arraial, 3574 - Casa Amarela, Recife - PE ",   79   Área m²     3   Quartos     1   Suíte     3   Banheiros     1   Vaga   
56,      R$ 415.000    ," Travessa Maria Carolina, 816 - Boa Viagem, Recife - PE ",   64   Área m²     3   Quartos     1   Suíte     3   Banheiros     1   Vaga   
57,      R$ 550.000    ," Rua Professor Augusto Lins e Silva, 356 - Boa Viagem, Recife - PE ",   104   Área m²     3   Quartos     1   Suíte     2   Banheiros     2   Vagas   
58,      R$ 430.000    ," Avenida Santos Dumont - Aflitos, Recife - PE ",   90   Área m²     3   Quartos     1   Suíte     3   Banheiros     2   Vagas   
59,      R$ 450.000    ," Rua Tenente Antônio João, 61 - Graças, Recife - PE ",   97   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
60,      R$ 2.300.000    ," Avenida Boa Viagem, 1662 - Boa Viagem, Recife - PE ",   218   Área m²     4   Quartos     4   Suítes     4   Banheiros     3   Vagas   
61,      R$ 290.000    ," Avenida Visconde de Albuquerque, 186 - Madalena, Recife - PE ",   114   Área m²     4   Quartos     1   Suíte     3   Banheiros     1   Vaga   
62,      R$ 302.900    ," Rua Dois de Julho, 251 - Santo Amaro, Recife - PE ",   58   Área m²     2   Quartos     1   Suíte     1   Banheiro     1   Vaga   
63,      R$ 275.000    ," Avenida República do Líbano, 560 - Pina, Recife - PE ",   34   Área m²     1   Quarto     --   Suíte     1   Banheiro     1   Vaga   
64,      R$ 220.000    ," Rua Japecanga, Apto. 203 - Prado, Recife - PE ",   67   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
65,      R$ 420.000    ," Encruzilhada, Recife - PE ",   60   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
66,      R$ 1.106.000    ," Rua Félix de Brito Melo, 202 - Boa Viagem, Recife - PE ",   154   Área m²     4   Quartos     4   Suítes     4   Banheiros     2   Vagas   
67,      R$ 720.000    ," Rua Bruno Veloso, 422 - Boa Viagem, Recife - PE ",   170   Área m²     3   Quartos     1   Suíte     1   Banheiro     2   Vagas   
68,      R$ 340.000    ," Rua Jonathas de Vasconcelos, 427 - Boa Viagem, Recife - PE ",   54   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
69,      R$ 670.000    ," Rua Gervásio Fioravante - Graças, Recife - PE ",   80   Área m²     3   Quartos     1   Suíte     3   Banheiros     2   Vagas   
70,      R$ 709.999    ," Rua Caio Pereira, 225 - Rosarinho, Recife - PE ",   100   Área m²     3   Quartos     1   Suíte     2   Banheiros     2   Vagas   
71,      R$ 400.000    ," Avenida Engenheiro Domingos Ferreira, 2842 - Boa Viagem, Recife - PE ",   54   Área m²     2   Quartos     1   Suíte     3   Banheiros     1   Vaga   
72,      R$ 1.700.000    ," Avenida Dezessete de Agosto, 2720 - Casa Forte, Recife - PE ",   207   Área m²     4   Quartos     4   Suítes     5   Banheiros     3   Vagas   
73,    Sob Consulta   ," Rua Eurico de Souza Leão, 541 - Cordeiro, Recife - PE ",   55-73   Área m²     1-3   Quartos     1   Banheiro     1-2   Vagas   
74,      R$ 780.000    ," Rua Wilfrid Rússel Shorto, 61 - Boa Viagem, Recife - PE ",   250   Área m²     4   Quartos     2   Suítes     4   Banheiros     1   Vaga   
75,      R$ 450.000    ," Estrada do Encanamento, 1342 - Casa Forte, Recife - PE ",   82   Área m²     3   Quartos     1   Suíte     3   Banheiros     2   Vagas   
76,      R$ 350.000    ," Rua Doutor Luiz Inácio Pessoa de Melo, 81 - Boa Viagem, Recife - PE ",   70   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
77,      R$ 620.000    ," Rua Benjamin Constant, 122 - Torre, Recife - PE ",   88   Área m²     3   Quartos     1   Suíte     2   Banheiros     2   Vagas   
78,      R$ 429.000    ," Rua da Angustura, 195 - Aflitos, Recife - PE ",   75   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
79,      R$ 400.000    ," Rua Arnaldo Bastos - Madalena, Recife - PE ",   48   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
80,      R$ 520.000    ," Rua Ernani Braga, 109 - Madalena, Recife - PE ",   84   Área m²     3   Quartos     2   Banheiros     2   Vagas   
81,      R$ 275.000    ," Rua Manuel de Barros Lima, 173 - Campo Grande, Recife - PE ",   76   Área m²     3   Quartos     1   Suíte     1   Banheiro     1   Vaga   
82,      R$ 1.550.000    ," Rua Doutor João Santos Filho, 250 - Parnamirim, Recife - PE ",   203   Área m²     4   Quartos     4   Suítes     5   Banheiros     3   Vagas   
83,      R$ 590.000    ," Rua do Futuro, 305 - Graças, Recife - PE ",   110   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
84,      R$ 399.000    ," Avenida Santos Dumont, 1500 - Ponto de Parada, Recife - PE ",   65   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
85,      R$ 350.000    ," Rua Jorge Couceiro da Costa Eiras, 443 - Boa Viagem, Recife - PE ",   67   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
86,      R$ 1.100.000    ," Rua Guilherme Salazar, 150 - Poço, Recife - PE ",   130   Área m²     3   Quartos     3   Suítes     5   Banheiros     2   Vagas   
87,      R$ 630.000    ," Rua Real da Torre, 1275 - Madalena, Recife - PE ",   96   Área m²     3   Quartos     2   Banheiros     2   Vagas   
88,      R$ 1.500.000    ," Avenida Boa Viagem, 1616 - Boa Viagem, Recife - PE ",   223   Área m²     3   Quartos     2   Suítes     2   Banheiros     --   Vaga   
89,      R$ 950.000    ," Rua Padre Roma, 669 - Parnamirim, Recife - PE ",   132   Área m²     3   Quartos     2   Suítes     3   Banheiros     2   Vagas   
90,      R$ 99.999.999    ," Rua Le Parc, 100 - Imbiribeira, Recife - PE ",   141   Área m²     4   Quartos     4   Suítes     5   Banheiros     2   Vagas   
91,      R$ 400.000    ," Estrada do Arraial, 3574 - Casa Amarela, Recife - PE ",   79   Área m²     3   Quartos     1   Suíte     3   Banheiros     1   Vaga   
92,      R$ 415.000    ," Travessa Maria Carolina, 816 - Boa Viagem, Recife - PE ",   64   Área m²     3   Quartos     1   Suíte     3   Banheiros     1   Vaga   
93,      R$ 550.000    ," Rua Professor Augusto Lins e Silva, 356 - Boa Viagem, Recife - PE ",   104   Área m²     3   Quartos     1   Suíte     2   Banheiros     2   Vagas   
94,      R$ 430.000    ," Avenida Santos Dumont - Aflitos, Recife - PE ",   90   Área m²     3   Quartos     1   Suíte     3   Banheiros     2   Vagas   
95,      R$ 450.000    ," Rua Tenente Antônio João, 61 - Graças, Recife - PE ",   97   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
96,      R$ 2.300.000    ," Avenida Boa Viagem, 1662 - Boa Viagem, Recife - PE ",   218   Área m²     4   Quartos     4   Suítes     4   Banheiros     3   Vagas   
97,      R$ 290.000    ," Avenida Visconde de Albuquerque, 186 - Madalena, Recife - PE ",   114   Área m²     4   Quartos     1   Suíte     3   Banheiros     1   Vaga   
98,      R$ 302.900    ," Rua Dois de Julho, 251 - Santo Amaro, Recife - PE ",   58   Área m²     2   Quartos     1   Suíte     1   Banheiro     1   Vaga   
99,      R$ 275.000    ," Avenida República do Líbano, 560 - Pina, Recife - PE ",   34   Área m²     1   Quarto     --   Suíte     1   Banheiro     1   Vaga   
100,      R$ 220.000    ," Rua Japecanga, Apto. 203 - Prado, Recife - PE ",   67   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
101,      R$ 420.000    ," Encruzilhada, Recife - PE ",   60   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
102,      R$ 1.106.000    ," Rua Félix de Brito Melo, 202 - Boa Viagem, Recife - PE ",   154   Área m²     4   Quartos     4   Suítes     4   Banheiros     2   Vagas   
103,      R$ 720.000    ," Rua Bruno Veloso, 422 - Boa Viagem, Recife - PE ",   170   Área m²     3   Quartos     1   Suíte     1   Banheiro     2   Vagas   
104,      R$ 340.000    ," Rua Jonathas de Vasconcelos, 427 - Boa Viagem, Recife - PE ",   54   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
105,      R$ 670.000    ," Rua Gervásio Fioravante - Graças, Recife - PE ",   80   Área m²     3   Quartos     1   Suíte     3   Banheiros     2   Vagas   
106,      R$ 709.999    ," Rua Caio Pereira, 225 - Rosarinho, Recife - PE ",   100   Área m²     3   Quartos     1   Suíte     2   Banheiros     2   Vagas   
107,      R$ 400.000    ," Avenida Engenheiro Domingos Ferreira, 2842 - Boa Viagem, Recife - PE ",   54   Área m²     2   Quartos     1   Suíte     3   Banheiros     1   Vaga   
108,      R$ 1.700.000    ," Avenida Dezessete de Agosto, 2720 - Casa Forte, Recife - PE ",   207   Área m²     4   Quartos     4   Suítes     5   Banheiros     3   Vagas   
109,    Sob Consulta   ," Rua Eurico de Souza Leão, 541 - Cordeiro, Recife - PE ",   55-73   Área m²     1-3   Quartos     1   Banheiro     1-2   Vagas   
110,      R$ 780.000    ," Rua Wilfrid Rússel Shorto, 61 - Boa Viagem, Recife - PE ",   250   Área m²     4   Quartos     2   Suítes     4   Banheiros     1   Vaga   
111,      R$ 450.000    ," Estrada do Encanamento, 1342 - Casa Forte, Recife - PE ",   82   Área m²     3   Quartos     1   Suíte     3   Banheiros     2   Vagas   
112,      R$ 350.000    ," Rua Doutor Luiz Inácio Pessoa de Melo, 81 - Boa Viagem, Recife - PE ",   70   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
113,      R$ 620.000    ," Rua Benjamin Constant, 122 - Torre, Recife - PE ",   88   Área m²     3   Quartos     1   Suíte     2   Banheiros     2   Vagas   
114,      R$ 429.000    ," Rua da Angustura, 195 - Aflitos, Recife - PE ",   75   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
115,      R$ 400.000    ," Rua Arnaldo Bastos - Madalena, Recife - PE ",   48   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
116,      R$ 520.000    ," Rua Ernani Braga, 109 - Madalena, Recife - PE ",   84   Área m²     3   Quartos     2   Banheiros     2   Vagas   
117,      R$ 275.000    ," Rua Manuel de Barros Lima, 173 - Campo Grande, Recife - PE ",   76   Área m²     3   Quartos     1   Suíte     1   Banheiro     1   Vaga   
118,      R$ 1.550.000    ," Rua Doutor João Santos Filho, 250 - Parnamirim, Recife - PE ",   203   Área m²     4   Quartos     4   Suítes     5   Banheiros     3   Vagas   
119,      R$ 590.000    ," Rua do Futuro, 305 - Graças, Recife - PE ",   110   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
120,      R$ 399.000    ," Avenida Santos Dumont, 1500 - Ponto de Parada, Recife - PE ",   65   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
121,      R$ 350.000    ," Rua Jorge Couceiro da Costa Eiras, 443 - Boa Viagem, Recife - PE ",   67   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
122,      R$ 1.100.000    ," Rua Guilherme Salazar, 150 - Poço, Recife - PE ",   130   Área m²     3   Quartos     3   Suítes     5   Banheiros     2   Vagas   
123,      R$ 630.000    ," Rua Real da Torre, 1275 - Madalena, Recife - PE ",   96   Área m²     3   Quartos     2   Banheiros     2   Vagas   
124,      R$ 1.500.000    ," Avenida Boa Viagem, 1616 - Boa Viagem, Recife - PE ",   223   Área m²     3   Quartos     2   Suítes     2   Banheiros     --   Vaga   
125,      R$ 950.000    ," Rua Padre Roma, 669 - Parnamirim, Recife - PE ",   132   Área m²     3   Quartos     2   Suítes     3   Banheiros     2   Vagas   
126,      R$ 99.999.999    ," Rua Le Parc, 100 - Imbiribeira, Recife - PE ",   141   Área m²     4   Quartos     4   Suítes     5   Banheiros     2   Vagas   
127,      R$ 400.000    ," Estrada do Arraial, 3574 - Casa Amarela, Recife - PE ",   79   Área m²     3   Quartos     1   Suíte     3   Banheiros     1   Vaga   
128,      R$ 415.000    ," Travessa Maria Carolina, 816 - Boa Viagem, Recife - PE ",   64   Área m²     3   Quartos     1   Suíte     3   Banheiros     1   Vaga   
129,      R$ 550.000    ," Rua Professor Augusto Lins e Silva, 356 - Boa Viagem, Recife - PE ",   104   Área m²     3   Quartos     1   Suíte     2   Banheiros     2   Vagas   
130,      R$ 430.000    ," Avenida Santos Dumont - Aflitos, Recife - PE ",   90   Área m²     3   Quartos     1   Suíte     3   Banheiros     2   Vagas   
131,      R$ 450.000    ," Rua Tenente Antônio João, 61 - Graças, Recife - PE ",   97   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
132,      R$ 2.300.000    ," Avenida Boa Viagem, 1662 - Boa Viagem, Recife - PE ",   218   Área m²     4   Quartos     4   Suítes     4   Banheiros     3   Vagas   
133,      R$ 290.000    ," Avenida Visconde de Albuquerque, 186 - Madalena, Recife - PE ",   114   Área m²     4   Quartos     1   Suíte     3   Banheiros     1   Vaga   
134,      R$ 302.900    ," Rua Dois de Julho, 251 - Santo Amaro, Recife - PE ",   58   Área m²     2   Quartos     1   Suíte     1   Banheiro     1   Vaga   
135,      R$ 275.000    ," Avenida República do Líbano, 560 - Pina, Recife - PE ",   34   Área m²     1   Quarto     --   Suíte     1   Banheiro     1   Vaga   
136,      R$ 220.000    ," Rua Japecanga, Apto. 203 - Prado, Recife - PE ",   67   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
137,      R$ 420.000    ," Encruzilhada, Recife - PE ",   60   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
138,      R$ 1.106.000    ," Rua Félix de Brito Melo, 202 - Boa Viagem, Recife - PE ",   154   Área m²     4   Quartos     4   Suítes     4   Banheiros     2   Vagas   
139,      R$ 720.000    ," Rua Bruno Veloso, 422 - Boa Viagem, Recife - PE ",   170   Área m²     3   Quartos     1   Suíte     1   Banheiro     2   Vagas   
140,      R$ 340.000    ," Rua Jonathas de Vasconcelos, 427 - Boa Viagem, Recife - PE ",   54   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
141,      R$ 670.000    ," Rua Gervásio Fioravante - Graças, Recife - PE ",   80   Área m²     3   Quartos     1   Suíte     3   Banheiros     2   Vagas   
142,      R$ 709.999    ," Rua Caio Pereira, 225 - Rosarinho, Recife - PE ",   100   Área m²     3   Quartos     1   Suíte     2   Banheiros     2   Vagas   
143,      R$ 400.000    ," Avenida Engenheiro Domingos Ferreira, 2842 - Boa Viagem, Recife - PE ",   54   Área m²     2   Quartos     1   Suíte     3   Banheiros     1   Vaga   
144,      R$ 1.700.000    ," Avenida Dezessete de Agosto, 2720 - Casa Forte, Recife - PE ",   207   Área m²     4   Quartos     4   Suítes     5   Banheiros     3   Vagas   
145,    Sob Consulta   ," Rua Eurico de Souza Leão, 541 - Cordeiro, Recife - PE ",   55-73   Área m²     1-3   Quartos     1   Banheiro     1-2   Vagas   
146,      R$ 780.000    ," Rua Wilfrid Rússel Shorto, 61 - Boa Viagem, Recife - PE ",   250   Área m²     4   Quartos     2   Suítes     4   Banheiros     1   Vaga   
147,      R$ 450.000    ," Estrada do Encanamento, 1342 - Casa Forte, Recife - PE ",   82   Área m²     3   Quartos     1   Suíte     3   Banheiros     2   Vagas   
148,      R$ 350.000    ," Rua Doutor Luiz Inácio Pessoa de Melo, 81 - Boa Viagem, Recife - PE ",   70   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
149,      R$ 620.000    ," Rua Benjamin Constant, 122 - Torre, Recife - PE ",   88   Área m²     3   Quartos     1   Suíte     2   Banheiros     2   Vagas   
150,      R$ 429.000    ," Rua da Angustura, 195 - Aflitos, Recife - PE ",   75   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
151,      R$ 400.000    ," Rua Arnaldo Bastos - Madalena, Recife - PE ",   48   Área m²     2   Quartos     1   Suíte     2   Banheiros     1   Vaga   
152,      R$ 520.000    ," Rua Ernani Braga, 109 - Madalena, Recife - PE ",   84   Área m²     3   Quartos     2   Banheiros     2   Vagas   
153,      R$ 275.000    ," Rua Manuel de Barros Lima, 173 - Campo Grande, Recife - PE ",   76   Área m²     3   Quartos     1   Suíte     1   Banheiro     1   Vaga   
154,      R$ 1.550.000    ," Rua Doutor João Santos Filho, 250 - Parnamirim, Recife - PE ",   203   Área m²     4   Quartos     4   Suítes     5   Banheiros     3   Vagas   
155,      R$ 590.000    ," Rua do Futuro, 305 - Graças, Recife - PE ",   110   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
156,      R$ 399.000    ," Avenida Santos Dumont, 1500 - Ponto de Parada, Recife - PE ",   65   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
157,      R$ 350.000    ," Rua Jorge Couceiro da Costa Eiras, 443 - Boa Viagem, Recife - PE ",   67   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
158,      R$ 1.100.000    ," Rua Guilherme Salazar, 150 - Poço, Recife - PE ",   130   Área m²     3   Quartos     3   Suítes     5   Banheiros     2   Vagas   
159,      R$ 630.000    ," Rua Real da Torre, 1275 - Madalena, Recife - PE ",   96   Área m²     3   Quartos     2   Banheiros     2   Vagas   
160,      R$ 1.500.000    ," Avenida Boa Viagem, 1616 - Boa Viagem, Recife - PE ",   223   Área m²     3   Quartos     2   Suítes     2   Banheiros     --   Vaga   
161,      R$ 950.000    ," Rua Padre Roma, 669 - Parnamirim, Recife - PE ",   132   Área m²     3   Quartos     2   Suítes     3   Banheiros     2   Vagas   
162,      R$ 99.999.999    ," Rua Le Parc, 100 - Imbiribeira, Recife - PE ",   141   Área m²     4   Quartos     4   Suítes     5   Banheiros     2   Vagas   
163,      R$ 400.000    ," Estrada do Arraial, 3574 - Casa Amarela, Recife - PE ",   79   Área m²     3   Quartos     1   Suíte     3   Banheiros     1   Vaga   
164,      R$ 415.000    ," Travessa Maria Carolina, 816 - Boa Viagem, Recife - PE ",   64   Área m²     3   Quartos     1   Suíte     3   Banheiros     1   Vaga   
165,      R$ 550.000    ," Rua Professor Augusto Lins e Silva, 356 - Boa Viagem, Recife - PE ",   104   Área m²     3   Quartos     1   Suíte     2   Banheiros     2   Vagas   
166,      R$ 430.000    ," Avenida Santos Dumont - Aflitos, Recife - PE ",   90   Área m²     3   Quartos     1   Suíte     3   Banheiros     2   Vagas   
167,      R$ 450.000    ," Rua Tenente Antônio João, 61 - Graças, Recife - PE ",   97   Área m²     3   Quartos     1   Suíte     2   Banheiros     1   Vaga   
168,      R$ 2.300.000    ," Avenida Boa Viagem, 1662 - Boa Viagem, Recife - PE ",   218   Área m²     4   Quartos     4   Suítes     4   Banheiros     3   Vagas   
