,prices,locations,other
1096,R$ 900.000R$ 3.349/mês,Espinheiro,4quartos2suítes3banheiros2vagas210m²
1097,R$ 906.356,Boa Viagem,4quartos2suítes1banheiro 2vagas124m²
1098,R$ 912.566,Torre,"3quartos1suíte1banheiro 2vagas106,50m²"
1099,R$ 918.000,Boa Viagem,3quartos1suíte2banheiros2vagas99m²
1100,R$ 920.000,Rosarinho,4quartos2suítes1banheiro 3vagas125m²
1101,R$ 920.000,Rosarinho,"4quartos2suítes1banheiro 3vagas125,12m²"
1102,R$ 924.000,Boa Viagem,3quartos1suíte2banheiros2vagas98m²
1103,R$ 940.000,Casa Forte,3quartos4banheiros2vagas123m²
1104,R$ 940.000,Jaqueira,3quartos2suítes1banheiro 2vagas150m²
1105,R$ 950.000,Jaqueira,4quartos2suítes4banheiros2vagas132m²
1106,R$ 950.000,Boa Viagem,4quartos3suítes4banheiros2vagas163m²
1107,R$ 950.000,Jaqueira,4quartos2suítes4banheiros2vagas143m²
1108,R$ 950.000,Parnamirim,4quartos2suítes4banheiros2vagas132m²
1109,R$ 950.000,Casa Amarela,4quartos2suítes4banheiros2vagas132m²
1110,R$ 950.000,Casa Forte,4quartos2suítes4banheiros2vagas132m²
1111,R$ 950.000,Boa Viagem,4quartos2suítes1banheiro 2vagas193m²
1112,R$ 950.000,Rosarinho,4quartos2suítes1banheiro 3vagas125m²
1113,R$ 950.000,Encruzilhada,4quartos2suítes2banheiros2vagas150m²
1114,R$ 950.000,Tamarineira,4quartos2suítes4banheiros2vagas132m²
1115,R$ 950.000,Boa Viagem,4quartos1suíte2banheiros2vagas220m²
1116,R$ 950.000R$ 5.000/mês,Espinheiro,3quartos1suíte5banheiros2vagas210m²
1117,R$ 952.000,Ilha do Retiro,4quartos2suítes4banheiros3vagas140m²
1118,R$ 954.000,Boa Viagem,3quartos1suíte2banheiros2vagas124m²
1119,R$ 960.000,Boa Viagem,4quartos4suítes5banheiros2vagas137m²
1120,R$ 960.000,Poço da Panela,4quartos2suítes2banheiros2vagas150m²
1121,R$ 980.000,Pina,4quartos1suíte4banheiros2vagas220m²
1122,R$ 980.000,Casa Amarela,3quartos3suítes1banheiro 2vagas191m²
1123,R$ 980.000,Casa Amarela,"3quartos3suítes1banheiro 2vagas155,16m²"
1124,R$ 980.000,Graças,4quartos1suíte2banheiros2vagas220m²
1125,R$ 980.000,Pina,4quartos1suíte4banheiros2vagas220m²
1126,R$ 980.000,Monteiro,4quartos3suítes5banheiros2vagas190m²
