,prices,locations,other
126,R$ 250.000,Casa Amarela,2quartos1banheiro 1vaga50m²
127,R$ 250.000,Várzea,"2quartos1banheiro 1vaga47,45m²"
128,R$ 250.000,Tamarineira,3quartos2banheiros1vaga76m²
129,R$ 250.000,Boa Vista,3quartos2banheiros1vaga90m²
130,R$ 250.000,Parnamirim,2quartos1banheiro 1vaga48m²
131,R$ 250.000,Pina,1quarto1suíte1banheiro 38m²
132,R$ 250.000,Aflitos,1quarto1banheiro 1vaga33m²
133,R$ 250.000,Boa Viagem,2quartos1banheiro 1vaga40m²
134,R$ 250.000,Madalena,1quarto1suíte1banheiro 1vaga32m²
135,R$ 250.000,Graças,3quartos1suíte3banheiros94m²
136,R$ 250.000R$ 1.100/mês,Boa Viagem,1quarto1banheiro 1vaga35m²
137,R$ 255.000,Graças,"1quarto1banheiro 1vaga33,13m²"
138,R$ 255.000,Graças,"1quarto1banheiro 1vaga32,69m²"
139,R$ 255.000,Torre,2quartos2banheiros1vaga72m²
140,R$ 255.000Preço de locaçãoSob consulta,Boa Viagem,1quarto1banheiro 1vaga49m²
141,R$ 255.000R$ 1.950/mês,Madalena,3quartos1suíte1banheiro 1vaga105m²
142,R$ 256.000,Soledade,"1quarto1banheiro 1vaga31,40m²"
143,R$ 256.000,Boa Vista,"2quartos1banheiro 1vaga41,26m²"
144,R$ 256.000,Derby,"2quartos1banheiro 1vaga41,51m²"
145,R$ 257.000,Boa Viagem,"1quarto1banheiro 1vaga31,89m²"
146,R$ 259.000,Rosarinho,1quarto1banheiro 1vaga36m²
147,R$ 259.900,Campo Grande,"2quartos1suíte1banheiro 1vaga46,93m²"
148,R$ 260.000,Casa Amarela,3quartos2banheiros1vaga75m²
149,R$ 260.000,Espinheiro,2quartos2banheiros1vaga67m²
150,R$ 260.000,Torre,3quartos1suíte2banheiros1vaga81m²
151,R$ 260.000,Encruzilhada,2quartos1suíte3banheiros1vaga109m²
152,R$ 260.000,Jardim São Paulo,3quartos1suíte2banheiros1vaga72m²
153,R$ 260.000,Boa Viagem,3quartos1suíte3banheiros1vaga130m²
154,R$ 260.000,Torre,2quartos1suíte2banheiros1vaga73m²
155,R$ 260.000,Espinheiro,3quartos3banheiros1vaga85m²
156,R$ 260.000,Boa Viagem,1quarto1banheiro 1vaga25m²
157,R$ 260.000,Jardim São Paulo,3quartos1suíte1banheiro 1vaga72m²
158,R$ 260.000,Torre,2quartos1suíte2banheiros1vaga73m²
159,R$ 260.000,Madalena,3quartos1suíte3banheiros1vaga76m²
160,R$ 260.000,Prado,2quartos1banheiro 1vaga75m²
161,R$ 260.000,Torre,2quartos1suíte1vaga43m²
162,R$ 260.000,Caxangá,2quartos1suíte1banheiro 1vaga55m²
163,R$ 260.865,Boa Viagem,"1quarto1banheiro 1vaga28,32m²"
164,R$ 261.500,Rosarinho,"1quarto1banheiro 1vaga32,58m²"
165,R$ 264.000,Graças,1quarto1banheiro 1vaga36m²
166,R$ 264.113,São José,"1quarto1banheiro 1vaga33,73m²"
167,R$ 265.000,Parnamirim,1quarto1banheiro 1vaga42m²
168,R$ 265.000,Boa Viagem,2quartos1banheiro 1vaga68m²
169,R$ 265.000,Boa Viagem,2quartos1suíte1banheiro 1vaga52m²
170,R$ 265.000,Boa Vista,3quartos2banheiros110m²
171,R$ 265.000,Soledade,1quarto1banheiro 1vaga32m²
172,R$ 265.000,Boa Vista,3quartos2banheiros110m²
173,R$ 267.650,Rosarinho,"1quarto1banheiro 1vaga32,58m²"
174,R$ 268.713,Rosarinho,2quartos1suíte1banheiro 1vaga50m²
175,R$ 268.713,Rosarinho,2quartos1suíte1banheiro 1vaga50m²
176,R$ 269.000,Imbiribeira,"2quartos1suíte2banheiros1vaga53,25m²"
177,R$ 269.000,Madalena,2quartos1suíte2banheiros1vaga43m²
178,R$ 269.000,Torre,2quartos1suíte2banheiros1vaga43m²
179,R$ 269.990,Tamarineira,"3quartos1suíte2banheiros1vaga58,15m²"
180,R$ 270.000,Encruzilhada,3quartos1suíte2banheiros1vaga67m²
181,R$ 270.000,Torre,"1quarto1banheiro 1vaga40,31m²"
182,R$ 270.000,Campo Grande,3quartos1suíte3banheiros1vaga72m²
183,R$ 270.000,Santo Amaro,3quartos1suíte2banheiros1vaga120m²
184,R$ 270.000,Torre,"1quarto1banheiro 1vaga40,31m²"
185,R$ 270.000,Torre,"1quarto1banheiro 1vaga40,31m²"
186,R$ 270.000,Campo Grande,2quartos1suíte2banheiros1vaga50m²
187,R$ 270.000,Rosarinho,1quarto1banheiro 1vaga33m²
188,R$ 270.000,Apipucos,"2quartos1suíte1banheiro 1vaga58,23m²"
189,R$ 270.000,Torre,3quartos2banheiros1vaga63m²
190,R$ 270.000,Madalena,2quartos1suíte3banheiros1vaga112m²
191,R$ 270.000R$ 650/mês,Graças,3quartos1suíte3banheiros1vaga80m²
192,R$ 270.000R$ 1.600/mês,Casa Amarela,"2quartos1suíte1banheiro 1vaga49,76m²"
193,R$ 270.000R$ 1.700/mês,Boa Viagem,"1quarto1banheiro 1vaga35,44m²"
194,Preço de vendaSob consultaR$ 1.750/mês,Jaqueira,2quartos1suíte3banheiros1vaga79m²
195,R$ 270.000Preço de locaçãoSob consulta,Boa Viagem,1quarto1banheiro 1vaga32m²
196,R$ 270.475,Campo Grande,2quartos1suíte1banheiro 1vaga55m²
197,R$ 271.900,Torre,2quartos1suíte2banheiros1vaga43m²
198,R$ 271.900,Madalena,2quartos1suíte2banheiros1vaga43m²
199,R$ 272.323,Casa Amarela,"2quartos1suíte1banheiro 1vaga41,70m²"
200,R$ 273.000,Graças,2quartos2banheiros1vaga63m²
201,R$ 273.723,Casa Amarela,"2quartos1suíte1banheiro 1vaga41,70m²"
202,R$ 274.000,Boa Vista,2quartos1suíte2banheiros1vaga52m²
203,R$ 275.000,Santo Amaro,"2quartos1suíte2banheiros1vaga57,07m²"
204,R$ 275.000,Boa Viagem,1quarto1banheiro 1vaga35m²
205,R$ 275.000,Prado,2quartos1suíte2banheiros1vaga58m²
206,R$ 275.000,Madalena,2quartos1banheiro 1vaga44m²
207,R$ 275.000,Encruzilhada,2quartos2banheiros1vaga60m²
208,R$ 276.680,Rosarinho,"1quarto1banheiro 1vaga32,58m²"
209,R$ 277.936,Várzea,2quartos1suíte2banheiros1vaga53m²
210,R$ 278.000,Espinheiro,"1quarto1banheiro 1vaga34,04m²"
211,R$ 278.005,Casa Amarela,"2quartos1suíte1banheiro 1vaga41,70m²"
212,R$ 279.000,Santo Amaro,"2quartos1suíte2banheiros1vaga57,07m²"
213,R$ 279.480,Aflitos,"1quarto1banheiro 1vaga28,51m²"
214,R$ 280.000,Madalena,3quartos1suíte3banheiros1vaga85m²
215,R$ 280.000,Boa Viagem,1quarto1banheiro 1vaga52m²
216,R$ 280.000,Várzea,"2quartos1banheiro 2vagas47,45m²"
217,R$ 280.000,Encruzilhada,3quartos1suíte2banheiros1vaga75m²
218,R$ 280.000,Jardim São Paulo,3quartos1suíte1banheiro 1vaga72m²
219,R$ 280.000,Iputinga,3quartos2suítes1banheiro 1vaga78m²
220,R$ 280.000,Cordeiro,3quartos2banheiros1vaga92m²
221,R$ 280.000,Prado,3quartos2banheiros1vaga75m²
222,R$ 280.000,Boa Viagem,1quarto1suíte1banheiro 1vaga30m²
223,R$ 280.000,Boa Viagem,3quartos1suíte2banheiros1vaga80m²
224,R$ 280.000,Casa Amarela,2quartos1suíte2banheiros1vaga84m²
225,R$ 280.000,Água Fria,3quartos1suíte3banheiros1vaga70m²
226,R$ 280.000,Madalena,2quartos1suíte2banheiros1vaga54m²
227,R$ 280.000,Graças,3quartos1suíte3banheiros1vaga80m²
228,R$ 280.000,Apipucos,"2quartos1suíte1banheiro 1vaga58,23m²"
229,R$ 280.000R$ 1.300/mês,Boa Viagem,3quartos1suíte3banheiros1vaga130m²
230,R$ 280.000R$ 1.800/mês,Madalena,2quartos1suíte2banheiros1vaga54m²
231,R$ 280.300,Santo Amaro,"2quartos1suíte2banheiros1vaga57,39m²"
232,R$ 282.500,Tamarineira,1quarto1banheiro 1vaga34m²
233,R$ 284.210,Pina,"1quarto1suíte1banheiro 1vaga35,75m²"
234,R$ 285.000,Caxangá,"2quartos1suíte1banheiro 1vaga52,53m²"
235,R$ 285.000,Torre,2quartos1suíte1banheiro 1vaga62m²
236,R$ 285.000,Tejipió,2quartos1suíte1banheiro 1vaga56m²
237,R$ 285.172,Pina,"1quarto1suíte1banheiro 1vaga35,75m²"
238,R$ 288.707,Pina,1quarto1suíte1banheiro 1vaga36m²
239,R$ 289.900,Madalena,2quartos1suíte2banheiros1vaga43m²
240,R$ 289.900,Torre,2quartos1suíte2banheiros1vaga43m²
241,R$ 290.000,Aflitos,2quartos1suíte1banheiro 1vaga95m²
242,R$ 290.000,Encruzilhada,2quartos2banheiros1vaga65m²
243,R$ 290.000,Torre,2quartos2banheiros1vaga94m²
244,R$ 290.000,Rosarinho,2quartos1suíte1banheiro 1vaga60m²
245,R$ 290.000,Boa Viagem,1quarto1banheiro 1vaga35m²
246,R$ 290.000,Casa Amarela,3quartos2banheiros1vaga75m²
247,R$ 290.000,Encruzilhada,2quartos2banheiros1vaga65m²
248,R$ 290.000,Pina,2quartos1banheiro 1vaga36m²
249,R$ 290.000,Boa Vista,3quartos1banheiro 1vaga94m²
250,R$ 290.000,Torre,2quartos1suíte3banheiros1vaga70m²
251,R$ 290.000,Boa Viagem,3quartos1suíte1banheiro 1vaga110m²
252,R$ 290.000,Casa Forte,2quartos1suíte2banheiros1vaga51m²
253,R$ 290.000,Aflitos,2quartos1suíte1banheiro 1vaga95m²
254,R$ 290.000,Espinheiro,3quartos1suíte3banheiros1vaga107m²
255,R$ 290.000,Torre,3quartos1suíte2banheiros1vaga70m²
256,R$ 290.000,Boa Viagem,1quarto1banheiro 1vaga34m²
257,R$ 290.000Preço de locaçãoSob consulta,Encruzilhada,3quartos1suíte3banheiros1vaga92m²
258,R$ 290.000R$ 1.100/mês,Encruzilhada,2quartos2banheiros1vaga65m²
259,R$ 291.000,Soledade,1quarto1banheiro 1vaga32m²
260,R$ 293.099,Casa Amarela,"2quartos1suíte1banheiro 1vaga41,70m²"
261,R$ 293.900,Madalena,2quartos1suíte2banheiros1vaga43m²
262,R$ 293.900,Torre,2quartos1suíte2banheiros1vaga43m²
263,R$ 295.000,Campo Grande,2quartos1suíte1banheiro 1vaga58m²
264,R$ 295.000,Parnamirim,2quartos1suíte2banheiros1vaga63m²
265,R$ 295.000,Madalena,3quartos1suíte2banheiros1vaga79m²
266,R$ 295.000,Madalena,3quartos1suíte2banheiros1vaga70m²
267,R$ 295.000R$ 1.200/mês,Madalena,"2quartos1suíte2banheiros1vaga51,35m²"
268,R$ 296.000,Encruzilhada,3quartos1suíte1banheiro 1vaga60m²
269,R$ 296.863,Encruzilhada,"2quartos1suíte2banheiros1vaga55,32m²"
270,R$ 297.000,Torre,3quartos3banheiros1vaga106m²
271,R$ 299.000,Soledade,"2quartos1suíte2banheiros1vaga59,56m²"
272,R$ 299.000,Casa Amarela,"2quartos1suíte1banheiro 1vaga50,54m²"
273,R$ 299.567,Casa Amarela,"2quartos1suíte1banheiro 1vaga41,70m²"
274,R$ 299.990,Torre,2quartos1suíte2banheiros1vaga44m²
275,R$ 299.999,Torre,2quartos1suíte2banheiros1vaga45m²
276,R$ 299.999,Torre,2quartos1suíte2banheiros1vaga45m²
277,R$ 300.000,Boa Vista,3quartos2banheiros1vaga126m²
278,R$ 300.000,Pina,2quartos1banheiro 36m²
279,R$ 300.000,Casa Amarela,"2quartos1suíte2banheiros1vaga58,43m²"
280,R$ 300.000,Torre,"2quartos1suíte2banheiros1vaga67,37m²"
281,R$ 300.000,Boa Vista,"2quartos1suíte1banheiro 1vaga57,50m²"
282,R$ 300.000,Boa Viagem,3quartos1suíte2banheiros1vaga127m²
283,R$ 300.000,Madalena,3quartos1suíte2banheiros1vaga67m²
284,R$ 300.000,Boa Viagem,1quarto1banheiro 1vaga52m²
285,R$ 300.000,Madalena,"2quartos1suíte2banheiros1vaga51,35m²"
286,R$ 300.000,Boa Vista,3quartos2banheiros2vagas74m²
287,R$ 300.000,Casa Forte,2quartos2banheiros1vaga80m²
288,R$ 300.000,Várzea,3quartos1suíte2banheiros1vaga73m²
289,R$ 300.000,Torre,"3quartos2suítes1banheiro 1vaga145,60m²"
290,R$ 300.000,Boa Viagem,2quartos1suíte2banheiros1vaga50m²
291,R$ 300.000,Casa Forte,2quartos1suíte2banheiros1vaga51m²
292,R$ 300.000,Pina,1quarto1banheiro 1vaga42m²
293,Preço de vendaSob consultaR$ 1.000/mês,Boa Viagem,2quartos1banheiro 1vaga65m²
294,Preço de vendaSob consultaR$ 1.250/mês,Boa Viagem,2quartos1banheiro 1vaga65m²
295,R$ 300.000R$ 1.700/mês,Boa Viagem,1quarto1banheiro 1vaga40m²
296,R$ 300.000R$ 2.500/mês,Boa Viagem,2quartos1banheiro 1vaga73m²
297,R$ 302.500,Torre,"2quartos1suíte1vaga50,22m²"
298,R$ 302.671,Casa Amarela,"2quartos1suíte1banheiro 1vaga41,70m²"
299,R$ 303.900,Madalena,2quartos1suíte2banheiros1vaga43m²
300,R$ 303.900,Torre,1quarto2banheiros1vaga43m²
301,R$ 305.000,Imbiribeira,"3quartos2banheiros1vaga63,06m²"
302,R$ 308.851,Casa Amarela,2quartos1suíte1banheiro 1vaga42m²
303,R$ 309.000,Casa Amarela,"3quartos1suíte2banheiros1vaga60,72m²"
304,R$ 310.000,Parnamirim,2quartos1suíte3banheiros1vaga74m²
305,R$ 310.000,Encruzilhada,"2quartos1suíte1banheiro 1vaga45,27m²"
306,R$ 310.000R$ 1.250/mês,Casa Amarela,1quarto1suíte2banheiros1vaga47m²
307,R$ 311.900,Várzea,2quartos1suíte2banheiros1vaga53m²
308,R$ 312.500,Boa Viagem,2quartos1suíte2banheiros1vaga47m²
309,R$ 312.900,Torre,2quartos1suíte2banheiros1vaga43m²
310,R$ 312.900,Madalena,2quartos1suíte2banheiros1vaga43m²
311,R$ 315.000,Boa Vista,2quartos2banheiros100m²
312,R$ 315.000,Casa Amarela,3quartos2banheiros1vaga88m²
313,R$ 315.000,Iputinga,3quartos1suíte1banheiro 2vagas100m²
314,R$ 315.000,Casa Amarela,3quartos1suíte1banheiro 1vaga60m²
315,R$ 315.000,Casa Amarela,"2quartos1suíte2banheiros1vaga47,17m²"
316,R$ 315.000,Encruzilhada,3quartos1suíte2banheiros64m²
317,R$ 315.000,Boa Viagem,2quartos1suíte2banheiros1vaga62m²
318,R$ 315.000,Espinheiro,3quartos1suíte2banheiros1vaga65m²
319,R$ 315.000,Espinheiro,3quartos1suíte2banheiros1vaga65m²
320,R$ 317.000,Caxangá,"2quartos1suíte1banheiro 1vaga52,53m²"
321,R$ 319.000,Imbiribeira,"2quartos1suíte2banheiros1vaga53,25m²"
322,R$ 320.000,Cordeiro,3quartos1suíte2banheiros1vaga69m²
323,R$ 320.000,Casa Amarela,"2quartos1suíte1banheiro 1vaga52,12m²"
324,R$ 320.000,Pina,1quarto1banheiro 1vaga45m²
325,R$ 320.000,Casa Amarela,2quartos1banheiro 1vaga48m²
326,R$ 320.000,Torre,2quartos1suíte3banheiros1vaga90m²
327,R$ 320.000,Madalena,3quartos1suíte3banheiros1vaga67m²
328,R$ 320.000,Campo Grande,3quartos1suíte2banheiros1vaga65m²
329,R$ 320.000,Madalena,2quartos1suíte2banheiros1vaga52m²
330,R$ 320.000,Boa Viagem,3quartos1suíte2banheiros1vaga73m²
331,R$ 320.000,Rosarinho,2quartos2banheiros1vaga60m²
332,R$ 320.000,Casa Forte,2quartos1suíte1banheiro 1vaga55m²
333,R$ 320.000,Apipucos,2quartos1suíte2banheiros1vaga58m²
334,R$ 320.000,Boa Viagem,"3quartos1suíte1banheiro 1vaga127,87m²"
335,R$ 320.000,Cordeiro,2quartos1suíte2banheiros1vaga62m²
336,R$ 320.000,Casa Amarela,"3quartos1suíte1banheiro 1vaga66,85m²"
337,R$ 320.000,Boa Viagem,"3quartos1suíte1banheiro 1vaga117,63m²"
338,R$ 320.000,Aflitos,2quartos1suíte3banheiros2vagas90m²
339,R$ 320.000,Graças,"3quartos1suíte1banheiro 1vaga80,44m²"
340,R$ 320.000,Tamarineira,2quartos1suíte4banheiros75m²
341,R$ 320.000R$ 1.500/mês,Boa Viagem,"2quartos1banheiro 1vaga44,68m²"
342,R$ 321.110,Casa Amarela,"2quartos1suíte1banheiro 1vaga41,70m²"
343,R$ 325.000,Encruzilhada,"3quartos1suíte2banheiros1vaga55,70m²"
344,R$ 325.000,Tamarineira,3quartos1suíte1banheiro 1vaga86m²
345,R$ 325.000,Tamarineira,3quartos1suíte3banheiros1vaga87m²
346,R$ 325.000,Encruzilhada,"2quartos1suíte1banheiro 1vaga57,50m²"
347,R$ 325.000,Encruzilhada,"3quartos1suíte2banheiros1vaga57,50m²"
348,R$ 325.000,Madalena,"2quartos1suíte3banheiros1vaga76,80m²"
349,R$ 325.000,Casa Amarela,"2quartos1suíte2banheiros1vaga47,17m²"
350,R$ 325.000,Madalena,"3quartos1suíte1banheiro 1vaga57,48m²"
351,R$ 327.000,Cordeiro,"3quartos1suíte2banheiros1vaga65,20m²"
352,R$ 329.000,Rosarinho,3quartos1suíte2banheiros1vaga72m²
353,R$ 329.900,Várzea,"2quartos1suíte1banheiro 1vaga53,65m²"
354,R$ 330.000,Boa Viagem,"3quartos1suíte1banheiro 1vaga117,63m²"
355,R$ 330.000,Torre,2quartos1suíte3banheiros1vaga76m²
356,R$ 330.000,Torreão,"3quartos1suíte1banheiro 1vaga62,34m²"
357,R$ 330.000,Torreão,3quartos1suíte2banheiros1vaga63m²
358,R$ 330.000,Cordeiro,3quartos1suíte2banheiros1vaga90m²
359,R$ 330.000,Madalena,2quartos1suíte2banheiros1vaga45m²
360,R$ 330.000,Pina,2quartos1suíte2banheiros1vaga60m²
361,R$ 330.000,Torre,2quartos1suíte1banheiro 1vaga52m²
362,R$ 330.000,Ilha do Retiro,3quartos1suíte2banheiros1vaga61m²
363,R$ 330.000,Casa Forte,2quartos1suíte2banheiros1vaga76m²
364,R$ 330.000,Graças,3quartos1suíte3banheiros95m²
365,R$ 330.000,Rosarinho,2quartos1suíte1banheiro 1vaga60m²
366,R$ 330.000,Casa Amarela,"2quartos1suíte1banheiro 1vaga58,64m²"
367,R$ 330.000,Cordeiro,"3quartos1suíte2banheiros1vaga65,20m²"
368,R$ 330.000,Imbiribeira,3quartos1suíte2banheiros1vaga90m²
369,R$ 330.000,Espinheiro,4quartos1suíte3banheiros1vaga138m²
370,R$ 330.000,Encruzilhada,"3quartos1suíte2banheiros1vaga60,88m²"
371,R$ 330.000,Madalena,2quartos1suíte2banheiros1vaga63m²
372,R$ 330.000,Madalena,2quartos1suíte2banheiros1vaga63m²
373,R$ 330.000,Encruzilhada,3quartos1suíte2banheiros1vaga65m²
374,R$ 330.000,Casa Forte,2quartos1suíte2banheiros1vaga89m²
375,R$ 330.000,Boa Viagem,"1quarto1suíte1banheiro 1vaga28,80m²"
376,R$ 330.000,Espinheiro,"3quartos1suíte3banheiros2vagas106,50m²"
377,R$ 330.000,Casa Forte,2quartos1suíte2banheiros2vagas52m²
378,R$ 330.000,Encruzilhada,3quartos1suíte1banheiro 1vaga62m²
379,R$ 330.000,Cordeiro,2quartos1suíte2banheiros1vaga62m²
380,R$ 330.000,Espinheiro,2quartos1suíte3banheiros2vagas89m²
381,R$ 330.000,Casa Amarela,"2quartos1suíte1banheiro 1vaga56,83m²"
382,R$ 330.000,Boa Viagem,2quartos1suíte1banheiro 1vaga47m²
383,R$ 330.000,Casa Amarela,3quartos1suíte3banheiros1vaga120m²
384,R$ 330.000R$ 1.318/mês,Boa Viagem,3quartos1suíte2banheiros1vaga67m²
385,R$ 330.000R$ 2.800/mês,Graças,3quartos1suíte3banheiros2vagas78m²
386,R$ 332.137,São José,"1quarto1suíte1banheiro 1vaga39,55m²"
387,R$ 334.000,Soledade,2quartos1banheiro 1vaga42m²
388,R$ 335.000,Imbiribeira,"3quartos2banheiros1vaga63,06m²"
389,R$ 335.000,Boa Viagem,2quartos2banheiros1vaga50m²
390,R$ 335.000,Graças,2quartos1suíte2banheiros1vaga50m²
391,R$ 335.000,Campo Grande,3quartos1suíte1banheiro 1vaga61m²
392,R$ 335.000,Boa Viagem,3quartos2banheiros1vaga76m²
393,R$ 335.000,Casa Amarela,"2quartos1suíte2banheiros1vaga47,17m²"
394,R$ 336.000,Espinheiro,"2quartos1suíte1banheiro 1vaga51,65m²"
395,R$ 336.000,Encruzilhada,"2quartos1suíte2banheiros1vaga51,65m²"
396,R$ 337.900,Várzea,"2quartos1suíte1banheiro 1vaga53,65m²"
397,R$ 338.000,Campo Grande,"3quartos1suíte3banheiros2vagas79,20m²"
398,R$ 338.000R$ 1.280/mês,Jaqueira,2quartos1suíte2banheiros1vaga48m²
399,R$ 339.000,Soledade,"2quartos1banheiro 1vaga46,24m²"
400,R$ 339.000,Prado,3quartos1suíte2banheiros1vaga58m²
401,R$ 340.000,Graças,3quartos1suíte3banheiros1vaga95m²
402,R$ 340.000,Casa Forte,2quartos2banheiros1vaga61m²
403,R$ 340.000,Boa Viagem,3quartos1suíte2banheiros1vaga110m²
404,R$ 340.000,Torre,2quartos1suíte1banheiro 1vaga52m²
405,R$ 340.000,Encruzilhada,"2quartos1suíte1banheiro 1vaga55,32m²"
406,R$ 340.000,Espinheiro,3quartos1suíte1banheiro 1vaga110m²
407,R$ 340.000,Graças,"3quartos1suíte1banheiro 1vaga149,15m²"
408,R$ 340.000,Graças,3quartos1suíte3banheiros2vagas96m²
409,R$ 340.000,Várzea,"3quartos1suíte2banheiros1vaga62,17m²"
410,R$ 340.000,Casa Forte,2quartos1suíte2banheiros1vaga51m²
411,R$ 342.000,Boa Viagem,2quartos1suíte2banheiros1vaga52m²
412,R$ 345.000,Encruzilhada,"3quartos1suíte1banheiro 1vaga58,93m²"
413,R$ 345.000,Encruzilhada,"3quartos1suíte1banheiro 1vaga59,87m²"
414,R$ 349.000,Encruzilhada,3quartos1suíte2banheiros1vaga59m²
415,R$ 349.000,Encruzilhada,3quartos1suíte2banheiros1vaga59m²
416,R$ 349.990,Torre,3quartos1suíte2banheiros1vaga67m²
417,R$ 349.990,Madalena,3quartos1suíte2banheiros1vaga70m²
418,R$ 349.990,Espinheiro,2quartos2banheiros1vaga87m²
419,R$ 349.990,Madalena,3quartos1suíte2banheiros1vaga70m²
420,R$ 350.000,Madalena,"3quartos1suíte1banheiro 1vaga65,90m²"
421,R$ 350.000,Boa Viagem,2quartos1banheiro 1vaga109m²
422,R$ 350.000,Madalena,2quartos1suíte1banheiro 1vaga68m²
423,R$ 350.000,Boa Viagem,"3quartos1suíte1banheiro 1vaga68,75m²"
424,R$ 350.000,Casa Amarela,3quartos1suíte1banheiro 1vaga74m²
425,R$ 350.000,Tamarineira,3quartos1suíte1banheiro 1vaga56m²
426,R$ 350.000,Tamarineira,3quartos1suíte1banheiro 1vaga56m²
427,R$ 350.000,Madalena,2quartos1suíte2banheiros1vaga54m²
428,R$ 350.000,Torre,2quartos1suíte2banheiros1vaga45m²
429,R$ 350.000,Encruzilhada,3quartos1suíte2banheiros1vaga106m²
430,R$ 350.000,Tamarineira,3quartos1suíte1banheiro 1vaga56m²
431,R$ 350.000,Torre,2quartos1suíte2banheiros1vaga43m²
432,R$ 350.000,Graças,3quartos1suíte2banheiros100m²
433,R$ 350.000,Boa Viagem,2quartos1suíte1banheiro 2vagas80m²
434,R$ 350.000,Campo Grande,"3quartos1suíte1banheiro 1vaga61,06m²"
435,R$ 350.000,Casa Amarela,3quartos1suíte1banheiro 1vaga61m²
436,R$ 350.000,Encruzilhada,2quartos1suíte2banheiros1vaga59m²
437,R$ 350.000,Boa Vista,2quartos2banheiros105m²
438,R$ 350.000,Boa Viagem,3quartos2suítes1banheiro 1vaga100m²
439,R$ 350.000,Espinheiro,3quartos1suíte1banheiro 1vaga96m²
440,R$ 350.000,Casa Forte,"2quartos1suíte2banheiros1vaga50,83m²"
441,R$ 350.000,Espinheiro,3quartos1suíte1banheiro 1vaga131m²
442,R$ 350.000,Boa Viagem,3quartos2banheiros1vaga100m²
443,R$ 350.000,Torre,"3quartos1suíte3banheiros1vaga74,06m²"
444,R$ 350.000,Torre,"3quartos1suíte3banheiros1vaga74,06m²"
445,R$ 350.000,Casa Forte,2quartos1suíte1banheiro 55m²
446,R$ 350.000R$ 1.200/mês,Madalena,3quartos1suíte3banheiros1vaga110m²
447,R$ 350.000Preço de locaçãoSob consulta,Boa Viagem,2quartos1suíte1banheiro 1vaga52m²
448,R$ 353.000,Madalena,2quartos1suíte1banheiro 1vaga46m²
449,R$ 355.000,Casa Amarela,"2quartos1suíte2banheiros58,87m²"
450,R$ 356.500,Encruzilhada,"2quartos1suíte1banheiro 1vaga57,50m²"
451,R$ 357.990,Cordeiro,"3quartos1suíte2banheiros1vaga65,20m²"
452,R$ 358.000,Cordeiro,"3quartos1suíte2banheiros1vaga65,20m²"
453,R$ 360.000,Torre,3quartos1suíte3banheiros1vaga72m²
454,R$ 360.000,Casa Forte,3quartos2banheiros1vaga92m²
455,R$ 360.000,Torre,3quartos1suíte1banheiro 1vaga63m²
456,R$ 360.000,Parnamirim,2quartos1suíte2banheiros1vaga63m²
457,R$ 360.000,Arruda,"3quartos1suíte1banheiro 1vaga57,85m²"
458,R$ 360.000,Madalena,3quartos1suíte1banheiro 1vaga65m²
459,R$ 360.000,Madalena,"3quartos1suíte2banheiros1vaga51,35m²"
460,R$ 360.000,Rosarinho,3quartos1suíte3banheiros1vaga80m²
461,R$ 360.000,Casa Amarela,"3quartos1suíte1banheiro 1vaga61,08m²"
462,R$ 360.000,Rosarinho,2quartos1suíte1banheiro 1vaga64m²
463,R$ 360.000,Tamarineira,3quartos1suíte3banheiros1vaga73m²
464,R$ 360.000,Madalena,3quartos1suíte1banheiro 2vagas92m²
465,R$ 360.000,Rosarinho,2quartos1suíte1banheiro 1vaga61m²
466,R$ 360.000,Rosarinho,3quartos2banheiros74m²
467,R$ 360.000,Casa Amarela,3quartos1suíte1banheiro 1vaga67m²
468,R$ 360.000,Aflitos,3quartos1suíte2banheiros2vagas144m²
469,R$ 360.000,Encruzilhada,2quartos1suíte2banheiros1vaga54m²
470,Preço de vendaSob consultaR$ 2.000/mês,Pina,2quartos1suíte1banheiro 1vaga60m²
471,R$ 360.000Preço de locaçãoSob consulta,Aflitos,4quartos4suítes3banheiros1vaga96m²
472,R$ 362.454,Casa Amarela,2quartos1suíte2banheiros1vaga50m²
473,R$ 362.916,Boa Viagem,"3quartos1suíte2banheiros1vaga59,30m²"
474,R$ 364.000,Imbiribeira,2quartos1suíte3banheiros1vaga67m²
475,R$ 365.000,Caxangá,3quartos1suíte1banheiro 2vagas85m²
476,R$ 365.000,Madalena,3quartos1suíte1banheiro 1vaga65m²
477,R$ 365.000,Casa Amarela,3quartos1suíte2banheiros1vaga70m²
478,R$ 365.000,Casa Amarela,3quartos1suíte2banheiros1vaga74m²
479,R$ 365.000,Espinheiro,2quartos1suíte3banheiros1vaga90m²
480,R$ 365.000,Arruda,3quartos1suíte2banheiros1vaga74m²
481,R$ 365.000,Encruzilhada,2quartos1suíte2banheiros1vaga54m²
482,R$ 367.000,Ilha do Retiro,"3quartos1suíte1vaga58,80m²"
483,R$ 367.000,Graças,2quartos1suíte2banheiros1vaga50m²
484,R$ 367.000,Encruzilhada,3quartos1suíte2banheiros1vaga62m²
485,R$ 369.000,Encruzilhada,3quartos1suíte2banheiros1vaga59m²
486,R$ 369.500,Ilha do Retiro,"3quartos1suíte2banheiros1vaga58,80m²"
487,R$ 369.762,Espinheiro,"1quarto1banheiro 37,17m²"
