,prices,locations,other
769,R$ 635.002R$ 679.002,"Recife, Boa Viagem",4 quartos | 188m² | Condomínio: R$ 1.100 | 3 vagas
770,R$ 1.275.004,"Recife, Graças",2 quartos | 50m² | Condomínio: R$ 400 | 1 vaga
771,R$ 130.000,"Paulista, Pau Amarelo",3 quartos | 89m² | 1 vaga
772,R$ 581.029,"Recife, Rosarinho",1 quarto | 35m² | 1 vaga
773,R$ 232.028,"Recife, Espinheiro",2 quartos | 52m² | 1 vaga
774,R$ 280.000,"Recife, Casa Amarela",3 quartos | 57m² | Condomínio: R$ 200 | 1 vaga
775,R$ 136.000,"São Lourenço da Mata, Nova Tiúma",4 quartos | 185m² | 3 vagas
776,R$ 1.600.026,"Recife, Boa Viagem",3 quartos | 122m² | 2 vagas
777,R$ 815.515,"Recife, Casa Forte",2 quartos | 42m² | Condomínio: R$ 0 | 1 vaga
778,R$ 155.000,"Jaboatão dos Guararapes, Engenho Velho",4 quartos | 150m² | 2 vagas
779,R$ 1.750.000,"Recife, Boa Viagem",2 quartos | 42m² | Condomínio: R$ 0 | 1 vaga
780,R$ 122.000,"Paulista, Maranguape I",4 quartos | 380m² | Condomínio: R$ 2.300
781,R$ 1.499.999R$ 1.500.000,"Jaboatão dos Guararapes, Piedade",3 quartos | 171m² | Condomínio: R$ 2.200 | 3 vagas
782,R$ 1.379.999R$ 1.380.000,"Recife, Boa Viagem",1 quarto | 36m² | Condomínio: R$ 590 | 1 vaga
783,R$ 229.999R$ 300.000,"Jaboatão dos Guararapes, Barra de Jangada",3 quartos | 88m² | 1 vaga
784,R$ 515.000,"Recife, Casa Forte",2 quartos | 58m² | 1 vaga
785,R$ 525.000,"Recife, Boa Viagem",3 quartos | 64m² | 1 vaga
786,R$ 169.000,"Paulista, Centro",3 quartos | 67m² | Condomínio: R$ 369 | 1 vaga
787,R$ 360.000,"Jaboatão dos Guararapes, Candeias",0m²
788,R$ 149.000,"Paulista, Maranguape I",3 quartos | 96m² | 2 vagas
789,R$ 450.000,"Jaboatão dos Guararapes, Piedade",2 quartos | 60m² | 1 vaga
790,R$ 465.000,"Recife, Madalena",3 quartos | 8926m² | Condomínio: R$ 570 | 2 vagas
791,R$ 625.000,"Jaboatão dos Guararapes, Centro",2 quartos | 47m² | 1 vaga
792,R$ 267.000,"Recife, Boa Viagem",3 quartos | 90m² | 2 vagas
793,R$ 740.000,"Recife, Madalena",3 quartos | 73m² | 2 vagas
794,R$ 430.000,"Jaboatão dos Guararapes, Piedade",3 quartos | 85m² | Condomínio: R$ 100 | 1 vaga
795,R$ 125.000,"Paulista, Janga",4 quartos | 110m² | Condomínio: R$ 220 | 2 vagas
796,R$ 220.000,"Recife, Soledade",4 quartos | 136m² | Condomínio: R$ 0 | 2 vagas
797,R$ 775.000,"Recife, Boa Viagem",2 quartos | 50m² | 1 vaga
798,R$ 146.000,"Jaboatão dos Guararapes, Candeias",2 quartos | 45m² | Condomínio: R$ 0 | 1 vaga
799,,"Recife, Imbiribeira",3 quartos | 64m² | Condomínio: R$ 340 | 1 vaga
800,R$ 318.122,"Recife, Barro",2 quartos | 70m² | 1 vaga
801,R$ 750.000,Ipojuca,3 quartos | 94m² | Condomínio: R$ 700 | 2 vagas
802,R$ 700.000R$ 740.000,"Recife, Parnamirim",3 quartos | 1 vaga
803,R$ 135.000,"Paulista, Janga",2 quartos | 6625m² | Condomínio: R$ 30 | 1 vaga
804,R$ 85.000R$ 90.000,"Olinda, Jardim Atlântico",1 quarto | 37m² | Condomínio: R$ 0 | 1 vaga
805,R$ 190.000,"Jaboatão dos Guararapes, Candeias",3 quartos | 94m² | 1 vaga
806,R$ 740.000,"Recife, Parnamirim",2 quartos | 45m² | 1 vaga
807,R$ 189.000,"Recife, Caxangá",2 quartos | 42m² | Condomínio: R$ 178 | 1 vaga
808,R$ 15.500R$ 129.500,"Jaboatão dos Guararapes, Barra de Jangada",2 quartos | 57m² | Condomínio: R$ 0 | 1 vaga
809,R$ 490.000,"Recife, Boa Viagem",2 quartos | 87m² | Condomínio: R$ 749 | 2 vagas
810,R$ 649.000,"Olinda, Casa Caiada",2 quartos | 52m² | Condomínio: R$ 300 | 1 vaga
811,R$ 300.000,"Recife, Boa Vista",3 quartos | 62m² | Condomínio: R$ 450 | 1 vaga
812,R$ 367.608,"Recife, Prado",3 quartos | 70m² | 2 vagas
813,R$ 129.999,"Recife, Areias",2 quartos | 1 vaga
814,R$ 32.000,"Recife, Torre",2 quartos | 47m² | 1 vaga
815,R$ 97.000,"Paulista, Janga",5 ou mais quarto | 460m² | Condomínio: R$ 0 | 4 vagas
816,R$ 2.050.000,"Recife, Boa Viagem",2 quartos | 57m² | 1 vaga
817,R$ 274.224,"Recife, Recife",1 quarto | 24m² | 1 vaga
818,R$ 233.000,"Recife, Boa Viagem",3 quartos | 90m² | 1 vaga
819,R$ 345.049,"Recife, Boa Viagem",3 quartos | 72m² | 1 vaga
820,R$ 425.000,"Recife, Monteiro",3 quartos | 61m² | Condomínio: R$ 444 | 1 vaga
821,R$ 260.023,"Paulista, Janga",2 quartos | 54m² | 1 vaga
822,R$ 280.000,"Recife, Várzea",2 quartos | 45m² | 1 vaga
823,R$ 159.000,"Jaboatão dos Guararapes, Candeias",3 quartos | 60m² | 1 vaga
824,,"Recife, Boa Viagem",2 quartos | 53m² | 1 vaga
825,R$ 269.000,"Recife, Boa Viagem",3 quartos | 94m² | Condomínio: R$ 530 | 3 vagas
826,R$ 295.000,"Recife, Boa Vista",3 quartos | 126m² | 2 vagas
827,R$ 808.841,"Recife, Santo Amaro",4 quartos | 136m² | Condomínio: R$ 1.060 | 2 vagas
828,R$ 750.020,"Recife, Boa Viagem",2 quartos | 58m² | Condomínio: R$ 256 | 1 vaga
829,R$ 60.000,"Jaboatão dos Guararapes, Candeias",2 quartos | 74m² | 1 vaga
830,R$ 170.000,"Recife, Casa Amarela",2 quartos | 50m² | 1 vaga
831,R$ 143.000,"Jaboatão dos Guararapes, Candeias",3 quartos | 92m² | 2 vagas
832,R$ 680.000,"Recife, Madalena",3 quartos | 58m²
833,R$ 350.000,"Recife, Prado",3 quartos | 125m² | Condomínio: R$ 850 | 2 vagas
834,R$ 870.000,"Recife, Boa Viagem",3 quartos | 93m² | Condomínio: R$ 1.000 | 2 vagas
835,R$ 680.000,"Recife, Boa Viagem",2 quartos | 65m² | Condomínio: R$ 430 | 4 vagas
836,R$ 200.000R$ 220.000,Tamandaré,4 quartos | 136m² | Condomínio: R$ 900 | 2 vagas
837,R$ 600.000,"Recife, Jaqueira",2 quartos | 64m² | Condomínio: R$ 290 | 1 vaga
838,R$ 165.000,"Jaboatão dos Guararapes, Candeias",3 quartos | 94m² | 2 vagas
839,R$ 660.000,"Recife, Santana",1 quarto | 35m² | Condomínio: R$ 120
840,R$ 80.000,"Recife, Casa Amarela",3 quartos | 93m² | 2 vagas
841,R$ 429.000,"Jaboatão dos Guararapes, Piedade",3 quartos | 58m² | 1 vaga
842,R$ 320.000,"Recife, Ponto de Parada",2 quartos | 48m² | Condomínio: R$ 225 | 1 vaga
843,R$ 185.000,"Jaboatão dos Guararapes, Piedade",1 quarto | 36m²
844,R$ 269.000,Ipojuca,2 quartos | 50m² | Condomínio: R$ 0 | 1 vaga
845,R$ 140.000,"Cabo de Santo Agostinho, Santo Agostinho",3 quartos | 79m² | Condomínio: R$ 600 | 1 vaga
846,R$ 380.000,"Recife, Boa Viagem",2 quartos | 1 vaga
847,R$ 130.000,Paulista,1 quarto | 40m²
848,R$ 200.000,"Recife, Boa Vista",3 quartos | 83m² | Condomínio: R$ 600 | 2 vagas
849,R$ 525.000,"Recife, Rosarinho",3 quartos | 62m² | Condomínio: R$ 350 | 1 vaga
850,R$ 319.000,"Recife, Cordeiro",4 quartos | 58723m² | Condomínio: R$ 3.100.000 | 4 vagas
851,R$ 3.200.000,"Recife, Boa Viagem",2 quartos | 45m²
852,R$ 139.000,"Paulista, Centro",2 quartos | 57m² | Condomínio: R$ 290 | 1 vaga
853,R$ 245.000,"Recife, Iputinga",2 quartos | 1 vaga
854,R$ 164.975,"Jaboatão dos Guararapes, Candeias",2 quartos | 1 vaga
855,R$ 165.230,"Jaboatão dos Guararapes, Candeias",3 quartos | 80m² | Condomínio: R$ 590 | 2 vagas
856,R$ 460.000,"Recife, Casa Amarela",3 quartos | 95m² | 2 vagas
857,R$ 310.000,"Caruaru, Universitário",2 quartos | 1 vaga
858,R$ 165.185R$ 204.185,"Jaboatão dos Guararapes, Candeias",2 quartos | 54m² | 1 vaga
859,R$ 130.000,"Caruaru, Universitário",4 quartos | 268m² | 4 vagas
860,R$ 2.404.075,"Recife, Brasília Teimosa",3 quartos | Condomínio: R$ 200 | 1 vaga
861,R$ 180.000,"Jaboatão dos Guararapes, Piedade",2 quartos | 49m² | Condomínio: R$ 200 | 1 vaga
862,R$ 105.000R$ 110.000,"São Lourenço da Mata, Muribara",3 quartos | 65m² | 1 vaga
863,R$ 379.999,"Recife, Recife",3 quartos | 66m² | 1 vaga
864,R$ 300.000,"Recife, Madalena",3 quartos | 160m² | 2 vagas
865,R$ 1.000.000,"Recife, Boa Viagem",3 quartos | 60m² | 1 vaga
866,R$ 314.000,"Jaboatão dos Guararapes, Piedade",2 quartos | 1 vaga
867,R$ 203.490,"Jaboatão dos Guararapes, Candeias",3 quartos | 85m² | Condomínio: R$ 350 | 1 vaga
868,R$ 240.000,"Recife, Boa Viagem",3 quartos | 68m² | Condomínio: R$ 500 | 1 vaga
869,R$ 410.000,"Recife, Boa Viagem",2 quartos | 1 vaga
870,R$ 203.600,"Jaboatão dos Guararapes, Candeias",4 quartos | 158m² | Condomínio: R$ 730 | 3 vagas
871,R$ 990.000,"Recife, Apipucos",1 quarto | 1 vaga
872,R$ 229.000,Ipojuca,2 quartos | 1 vaga
873,R$ 180.000,"Paulista, Janga",2 quartos | 1 vaga
874,R$ 203.122,"Jaboatão dos Guararapes, Candeias",2 quartos | 1 vaga
875,R$ 130.000,"Paulista, Pau Amarelo",2 quartos | 51m² | 1 vaga
876,R$ 357.000,"Recife, Tamarineira",2 quartos | 52m² | Condomínio: R$ 40.500 | 1 vaga
877,R$ 260.000,"Jaboatão dos Guararapes, Piedade",2 quartos | 1 vaga
878,R$ 204.000,"Jaboatão dos Guararapes, Candeias",2 quartos | 72m² | Condomínio: R$ 550 | 1 vaga
879,R$ 300.000,"Recife, Torre",2 quartos | 47m² | 1 vaga
880,R$ 188.000,"Recife, Tejipió",4 quartos | 170m² | 2 vagas
881,R$ 900.000,"Jaboatão dos Guararapes, Piedade",2 quartos | 1 vaga
882,R$ 203.100,"Jaboatão dos Guararapes, Candeias",4 quartos | 145m² | Condomínio: R$ 650 | 1 vaga
883,R$ 420.000R$ 450.000,"Recife, Espinheiro",2 quartos | 1 vaga
884,R$ 202.899,"Jaboatão dos Guararapes, Candeias",3 quartos | 100m² | Condomínio: R$ 490 | 2 vagas
885,R$ 500.000,"Caruaru, Maurício de Nassau",2 quartos | 64m² | Condomínio: R$ 645 | 1 vaga
886,R$ 360.000,"Recife, Madalena",2 quartos | 120m² | 1 vaga
887,R$ 440.000,"Recife, Boa Viagem",2 quartos | 80m² | Condomínio: R$ 460 | 1 vaga
888,R$ 250.000,"Recife, Boa Viagem",2 quartos | 1 vaga
889,R$ 202.900,"Jaboatão dos Guararapes, Candeias",3 quartos | 75m² | Condomínio: R$ 370
890,R$ 310.000,"Caruaru, Universitário",2 quartos | 41m² | 1 vaga
891,R$ 131.000,"Camaragibe, Timbí",2 quartos | 1 vaga
892,R$ 203.000,"Jaboatão dos Guararapes, Candeias",4 quartos | 216m² | Condomínio: R$ 861 | 2 vagas
893,R$ 760.000,"Recife, Graças",3 quartos | 128m² | Condomínio: R$ 700 | 2 vagas
894,R$ 895.000,"Recife, Ipsep",2 quartos | 65m² | Condomínio: R$ 157 | 1 vaga
895,R$ 115.000,"Jaboatão dos Guararapes, Candeias",3 quartos | 60m² | 1 vaga
896,R$ 260.014R$ 260.016,"Paulista, Janga",2 quartos | 45m² | Condomínio: R$ 250 | 1 vaga
897,R$ 179.000,"Jaboatão dos Guararapes, Candeias",3 quartos | 82m² | 2 vagas
898,R$ 480.000,"Recife, Santo Amaro",2 quartos | 55m² | Condomínio: R$ 400 | 1 vaga
899,R$ 300.000,"Recife, Boa Viagem",4 quartos | 124m² | 2 vagas
900,R$ 1.060.000,"Recife, Boa Viagem",3 quartos | 65m² | 2 vagas
901,R$ 427.000,"Recife, Recife",4 quartos | 201m² | 3 vagas
902,R$ 1.400.012,"Recife, Madalena",5 ou mais quarto | 3 vagas
903,R$ 500.000,"Recife, Boa Viagem",2 quartos | 70m² | Condomínio: R$ 795 | 1 vaga
904,R$ 350.000,"Recife, Boa Viagem",4 quartos | 132m² | Condomínio: R$ 950 | 2 vagas
905,R$ 730.000,"Recife, Parnamirim",4 quartos | 125m² | Condomínio: R$ 750 | 2 vagas
906,R$ 880.000,"Recife, Ponto de Parada",4 quartos | 162m² | 3 vagas
907,R$ 1.250.000,"Recife, Boa Viagem",3 quartos | 1 vaga
908,R$ 170.000,"Paulista, Centro",3 quartos | 65m² | Condomínio: R$ 450 | 1 vaga
909,R$ 230.000,"Olinda, Jardim Atlântico",4 quartos | 284m² | Condomínio: R$ 950 | 2 vagas
910,R$ 960.000,"Recife, Boa Viagem",2 quartos | 55m² | 1 vaga
911,R$ 360.000,"Recife, Santo Amaro",3 quartos | 72m² | Condomínio: R$ 180 | 2 vagas
912,R$ 195.000,"Recife, Várzea",3 quartos | 170m² | 2 vagas
913,R$ 525.000,"Jaboatão dos Guararapes, Piedade",3 quartos | 60m² | Condomínio: R$ 470 | 1 vaga
914,R$ 410.000R$ 425.000,"Recife, Espinheiro",2 quartos | 51m² | 1 vaga
915,R$ 336.000,"Recife, Recife",2 quartos | 42m² | 1 vaga
916,R$ 155.000,"Jaboatão dos Guararapes, Engenho Velho",2 quartos | 47m² | 1 vaga
917,R$ 126.000,"Caruaru, Indianópolis",2 quartos | 59m² | 1 vaga
918,R$ 340.000,"Recife, Espinheiro",3 quartos | 68m² | 1 vaga
919,R$ 345.000,"Recife, Pina",4 quartos | 270m² | Condomínio: R$ 2.300 | 3 vagas
920,R$ 1.850.000R$ 2.000.000,"Recife, Boa Viagem",2 quartos | 58m² | 1 vaga
921,R$ 425.882,"Recife, Monteiro",3 quartos | 121m² | 1 vaga
922,R$ 780.012,"Recife, Santo Amaro",2 quartos | 59m² | 1 vaga
923,R$ 360.000,"Recife, Encruzilhada",3 quartos | 64m² | 1 vaga
924,R$ 170.000,"Paulista, Centro",4 quartos | 147m² | 2 vagas
925,R$ 1.350.000,"Recife, Boa Viagem",5 ou mais quarto | 135m² | 2 vagas
926,R$ 648.000,"Recife, Poço",3 quartos | 60m² | 1 vaga
927,R$ 330.000,"Recife, Boa Viagem",2 quartos | 45m² | 1 vaga
928,R$ 198.000,"Recife, Boa Viagem",3 quartos | 93m² | Condomínio: R$ 860 | 2 vagas
929,R$ 480.000,"Recife, Casa Amarela",3 quartos | 114m² | Condomínio: R$ 741 | 2 vagas
930,R$ 890.000,"Recife, Ipsep",2 quartos | 48m² | Condomínio: R$ 200 | 1 vaga
931,R$ 125.000,"São Lourenço da Mata, Parque Capibaribe",3 quartos | 63m² | Condomínio: R$ 400 | 1 vaga
932,R$ 368.000,"Olinda, Casa Caiada",4 quartos | 173m² | Condomínio: R$ 850 | 3 vagas
933,R$ 1.449.999,"Recife, Boa Viagem",3 quartos | 60m² | Condomínio: R$ 300 | 1 vaga
934,R$ 214.000,"Jaboatão dos Guararapes, Piedade",3 quartos | 70m² | Condomínio: R$ 630 | 1 vaga
935,R$ 360.000,"Recife, Tamarineira",4 quartos | 234m² | Condomínio: R$ 1.500 | 3 vagas
936,R$ 2.095.000,"Recife, Casa Forte",3 quartos | 80m² | Condomínio: R$ 670 | 1 vaga
937,R$ 280.000,"Recife, Prado",2 quartos | 49m² | 1 vaga
938,R$ 265.000,"Jaboatão dos Guararapes, Candeias",3 quartos | 120m² | Condomínio: R$ 990 | 1 vaga
939,R$ 560.000,"Recife, Boa Viagem",3 quartos | 66m² | 1 vaga
940,R$ 380.444,"Recife, Recife",1 quarto | 35m² | 1 vaga
941,R$ 195.000,"Recife, Várzea",3 quartos | 62m² | Condomínio: R$ 495 | 1 vaga
942,R$ 320.000,"Recife, Encruzilhada",4 quartos | 208m² | Condomínio: R$ 1.000 | 3 vagas
943,R$ 1.300.000,"Recife, Recife",3 quartos | 60m² | 1 vaga
944,R$ 260.439R$ 280.032,"Paulista, Janga",4 quartos | 149m² | 2 vagas
945,R$ 1.196.019R$ 1.196.023,"Recife, Encruzilhada",3 quartos | 94m² | 1 vaga
946,R$ 496.899,"Jaboatão dos Guararapes, Candeias",2 quartos | 0m²
947,,Ipojuca,3 quartos | 56m² | 1 vaga
948,R$ 179.000R$ 183.000,"Paulista, Centro",2 quartos | 68m² | 1 vaga
949,R$ 385.000,"Jaboatão dos Guararapes, Piedade",2 quartos | 1 vaga
950,R$ 189.900,"Olinda, Jardim Atlântico",1 quarto | 27m²
951,R$ 173.000,"Recife, Recife",1 quarto | 26m² | 1 vaga
952,R$ 240.000,"Recife, Boa Viagem",3 quartos | 75m² | Condomínio: R$ 200 | 1 vaga
953,R$ 220.000,"Olinda, Jardim Atlântico",1 quarto | 25m² | Condomínio: R$ 280 | 1 vaga
954,R$ 219.000,"Recife, Boa Viagem",2 quartos | 42m² | Condomínio: R$ 0 | 1 vaga
955,R$ 155.000,"Jaboatão dos Guararapes, Socorro",2 quartos | 50m² | 1 vaga
956,R$ 134.000,"Cabo de Santo Agostinho, Santo Agostinho",4 quartos | 251m² | 4 vagas
957,R$ 1.900.000,"Cabo de Santo Agostinho, Paiva",2 quartos
958,R$ 35.000,"Jaboatão dos Guararapes, Marcos Freire",2 quartos | 54m² | 1 vaga
959,R$ 100.000,"Olinda, Rio Doce",3 quartos | 80m² | Condomínio: R$ 700 | 1 vaga
960,R$ 420.000,"Olinda, Casa Caiada",2 quartos | 56m² | 2 vagas
961,R$ 335.000,"Jaboatão dos Guararapes, Piedade",2 quartos | 78m² | Condomínio: R$ 0 | 1 vaga
962,R$ 122.000,Caruaru,3 quartos | 81m² | Condomínio: R$ 1 | 2 vagas
963,R$ 775.000,Ipojuca,3 quartos | 67m² | Condomínio: R$ 480 | 1 vaga
964,R$ 270.000,"Recife, Torre",3 quartos | 93m² | 2 vagas
965,R$ 756.885,"Recife, Casa Amarela",3 quartos | 134m² | 1 vaga
966,R$ 430.000R$ 490.000,Recife,2 quartos | 68m² | Condomínio: R$ 450 | 1 vaga
967,R$ 190.000,"Jaboatão dos Guararapes, Candeias",2 quartos | Condomínio: R$ 50 | 1 vaga
968,R$ 20.000,"Jaboatão dos Guararapes, Guararapes",2 quartos | 50m² | 1 vaga
969,R$ 330.000,"Recife, Tamarineira",3 quartos | 98m² | Condomínio: R$ 260 | 1 vaga
970,R$ 150.000,"Recife, Cordeiro",3 quartos | 64m² | 1 vaga
971,R$ 340.000,"Recife, Caxangá",2 quartos | 1 vaga
972,R$ 125.000,Abreu e Lima,3 quartos | 68m² | Condomínio: R$ 300 | 1 vaga
973,R$ 120.000,"Jaboatão dos Guararapes, Candeias",3 quartos | 127m² | 2 vagas
974,R$ 750.000,"Recife, Santo Amaro",4 quartos | 107m² | 3 vagas
975,R$ 621.000,"Recife, Tamarineira",3 quartos | 93m² | 2 vagas
976,R$ 660.946,"Recife, Casa Amarela",2 quartos | 32m² | Condomínio: R$ 460
977,R$ 65.000,"Recife, Boa Vista",2 quartos | 93m² | Condomínio: R$ 700 | 2 vagas
978,R$ 700.000,"Recife, Boa Viagem",2 quartos | 59m² | Condomínio: R$ 150 | 1 vaga
979,R$ 210.000,"Camaragibe, Aldeia dos Camarás",3 quartos | 1 vaga
980,R$ 260.000,"Paulista, Janga",2 quartos | Condomínio: R$ 0 | 1 vaga
981,R$ 135.000,Paulista,3 quartos | 85m² | Condomínio: R$ 350 | 2 vagas
982,R$ 250.000,"Recife, Paissandu",1 quarto | 57m²
983,R$ 350.000,"Jaboatão dos Guararapes, Piedade",3 quartos | 84m² | 2 vagas
984,R$ 550.000,"Recife, Encruzilhada",3 quartos | 102m² | Condomínio: R$ 850 | 2 vagas
985,R$ 780.000,"Recife, Rosarinho",3 quartos | 58m² | Condomínio: R$ 450 | 1 vaga
986,R$ 350.000,"Recife, Arruda",2 quartos | 52m² | Condomínio: R$ 0 | 1 vaga
987,R$ 310.000,"Recife, Boa Viagem",3 quartos | 90m² | 2 vagas
988,R$ 660.000R$ 670.893,"Recife, Madalena",3 quartos | 60m² | 1 vaga
989,R$ 136.000,"São Lourenço da Mata, Nova Tiúma",2 quartos | 52m² | 1 vaga
990,R$ 245.000R$ 290.000,"Olinda, Bairro Novo",3 quartos | 62m² | 1 vaga
991,,Ipojuca,2 quartos | 42m² | Condomínio: R$ 0 | 1 vaga
992,R$ 319.000,"Recife, Cordeiro",3 quartos | 85m² | 2 vagas
993,R$ 155.000,"Paulista, Maranguape I",2 quartos | 56m² | Condomínio: R$ 670 | 1 vaga
994,,"Recife, Graças",3 quartos | 66m² | 1 vaga
995,R$ 541.652R$ 541.653,"Recife, Boa Viagem",4 quartos | 160m² | Condomínio: R$ 1.000 | 2 vagas
996,R$ 449.900,"Recife, Tamarineira",4 quartos | 185m² | Condomínio: R$ 700 | 2 vagas
997,R$ 979.999R$ 980.000,"Recife, Boa Viagem",2 quartos | 80m² | Condomínio: R$ 290
998,R$ 1.499.999R$ 1.500.000,"Recife, Boa Viagem",2 quartos | 70m² | Condomínio: R$ 430 | 1 vaga
999,R$ 190.000,"Recife, Boa Vista",2 quartos | 45m² | 1 vaga
1000,R$ 420.000,"Recife, Pina",3 quartos | 60m² | 2 vagas
1001,R$ 240.000,"Recife, Iputinga",2 quartos | 50m² | 1 vaga
1002,R$ 465.000,"Recife, Madalena",5 ou mais quarto | 217m² | Condomínio: R$ 0 | 2 vagas
1003,R$ 339.900,"Recife, Tamarineira",2 quartos | 58m² | 1 vaga
1004,R$ 1.830.000,Ipojuca,2 quartos | 49m² | Condomínio: R$ 190 | 1 vaga
1005,R$ 185.000R$ 189.000,"Olinda, Jardim Atlântico",1 quarto | 45m² | Condomínio: R$ 550 | 1 vaga
1006,R$ 125.000,"São Lourenço da Mata, Muribara",2 quartos | 70m² | Condomínio: R$ 700 | 1 vaga
1007,R$ 140.000,"Jaboatão dos Guararapes, Piedade",2 quartos | 55m² | 1 vaga
1008,R$ 490.000R$ 550.000,"Recife, Boa Viagem",3 quartos | 53m² | Condomínio: R$ 0 | 1 vaga
1009,R$ 370.000,"Recife, Boa Viagem",2 quartos
1010,R$ 136.000,"São Lourenço da Mata, Centro",3 quartos | 140m² | 1 vaga
1011,R$ 41.000,"Recife, Cordeiro",4 quartos | 152m² | 2 vagas
1012,R$ 850.000,"Recife, Boa Viagem",4 quartos | 217m² | 2 vagas
1013,R$ 1.465.223,"Recife, Boa Viagem",3 quartos | 113m² | 2 vagas
1014,R$ 1.000.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",4 quartos | 434m² | 4 vagas
1015,R$ 650.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",2 quartos | 5 ou mais vaga
1016,R$ 1.800.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",4 quartos | 238m² | 4 vagas
1017,R$ 35.000,"Jaboatão dos Guararapes, Curado",4 quartos | 182m² | 3 vagas
1018,R$ 2.200.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",3 quartos | 113m² | 2 vagas
1019,R$ 840.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",4 quartos | 127m² | 2 vagas
1020,R$ 790.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",3 quartos | 65m² | Condomínio: R$ 0 | 1 vaga
1021,R$ 750.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",4 quartos | 170m² | 3 vagas
1022,R$ 145.005,Paulista,3 quartos | 58m² | 1 vaga
1023,R$ 1.400.000,"Cabo de Santo Agostinho, Paiva",3 quartos | 67m² | 1 vaga
1024,R$ 290.055,"Recife, Encruzilhada",3 quartos | 60m² | 1 vaga
1025,R$ 275.055,"Recife, Encruzilhada",3 quartos | 72m² | 1 vaga
1026,R$ 330.055,"Recife, Encruzilhada",3 quartos | 92m² | 1 vaga
1027,R$ 396.055,"Recife, Encruzilhada",18m² | Condomínio: R$ 236
1028,R$ 730.169,Ipojuca,3 quartos | 58m² | 2 vagas
1029,R$ 65.000,"Recife, Santo Antônio",4 quartos | 112m² | 2 vagas
1030,R$ 329.000,"Recife, Prado",2 quartos | 46m² | Condomínio: R$ 0 | 1 vaga
1031,R$ 750.055,"Recife, Torre",5 ou mais quarto | 434m² | 4 vagas
1032,,"Paulista, Maranguape I",3 quartos | 63m² | Condomínio: R$ 300 | 1 vaga
1033,R$ 1.800.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",3 quartos | 61m² | Condomínio: R$ 300 | 1 vaga
1034,R$ 195.005,"Paulista, Maria Farinha",4 quartos | 212m² | 3 vagas
1035,R$ 230.000,"Paulista, Artur Lundgren I",3 quartos | 113m² | 2 vagas
1036,R$ 995.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",3 quartos | 93m² | 2 vagas
1037,R$ 640.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",2 quartos | 61m² | 1 vaga
1038,R$ 810.055,"Recife, Boa Viagem",3 quartos | 89m² | 2 vagas
1039,R$ 235.000,Ipojuca,3 quartos | 71m² | 1 vaga
1040,R$ 600.055,"Jaboatão dos Guararapes, Candeias",4 quartos | 135m² | 2 vagas
1041,R$ 550.000,"Recife, Boa Viagem",3 quartos | 64m² | 1 vaga
1042,R$ 835.055,"Jaboatão dos Guararapes, Centro",5 ou mais quarto | 136m² | Condomínio: R$ 0 | 2 vagas
1043,R$ 170.000,"Paulista, Vila Torres Galvão",3 quartos | 112m² | Condomínio: R$ 590 | 1 vaga
1044,R$ 760.000,"Recife, Boa Viagem",2 quartos | 52m² | Condomínio: R$ 305 | 2 vagas
1045,R$ 270.000,"Recife, Encruzilhada",4 quartos | 135m² | 2 vagas
1046,R$ 279.900R$ 300.000,"Recife, Boa Viagem",3 quartos | 64m² | 1 vaga
1047,R$ 870.055,"Recife, Boa Viagem",2 quartos | 54m² | 1 vaga
1048,R$ 170.000,"Paulista, Vila Torres Galvão",2 quartos | 52m² | 1 vaga
1049,R$ 243.202,"Jaboatão dos Guararapes, Candeias",2 quartos | 46m² | 1 vaga
1050,R$ 288.000,"Recife, Caxangá",2 quartos | 90m² | Condomínio: R$ 650 | 1 vaga
1051,R$ 250.000,"Recife, Torre",3 quartos | 130m² | 2 vagas
1052,R$ 330.000R$ 350.000,"Recife, Várzea",2 quartos | 61m² | 1 vaga
1053,R$ 350.000,"Jaboatão dos Guararapes, Piedade",3 quartos | 63m² | 1 vaga
1054,R$ 235.000,Ipojuca,4 quartos | 136m² | 2 vagas
1055,R$ 170.000,"Paulista, Aurora",4 quartos | 172m² | 2 vagas
1056,R$ 1.126.000,"Recife, Boa Viagem",3 quartos | 60m² | 1 vaga
1057,R$ 1.100.000,"Recife, Boa Viagem",1 quarto | 25m² | 1 vaga
1058,R$ 350.000,"Recife, Boa Viagem",2 quartos | 56m² | 1 vaga
1059,R$ 173.000,"Recife, Boa Vista",2 quartos | 51m² | 1 vaga
1060,R$ 450.055,"Recife, Boa Viagem",3 quartos | 81m² | 2 vagas
1061,R$ 280.201,"Recife, Torre",4 quartos | 136m² | 2 vagas
1062,R$ 685.055,"Recife, Boa Viagem",1 quarto | 33m² | 1 vaga
