,prices,locations,other
71,R$ 220.000,"Recife, Cordeiro",3 quartos | 67m² | Condomínio: R$ 250 | 2 vagas
72,R$ 1.800.000,"Recife, Madalena",4 quartos | 208m² | 3 vagas
73,R$ 555.155,"Recife, Pina",3 quartos | 89m² | 2 vagas
74,R$ 800.000,"Recife, Rosarinho",4 quartos | 136m² | Condomínio: R$ 910 | 2 vagas
75,R$ 369.500,"Olinda, Bairro Novo",2 quartos | 1 vaga
76,R$ 650.000,"Recife, Boa Viagem",3 quartos | 140m² | 2 vagas
77,,"Recife, Boa Vista",3 quartos | 53m² | 1 vaga
78,R$ 698.000R$ 790.000,"Recife, Torre",5 ou mais quarto | 112m² | Condomínio: R$ 700 | 2 vagas
79,R$ 1.350.000,"Recife, Boa Viagem",4 quartos | 173m² | 3 vagas
80,R$ 80.000,"Jaboatão dos Guararapes, Candeias",2 quartos | 62m² | 1 vaga
81,R$ 130.000,"Igarassu, Vila Rural",1 quarto | 35m² | 2 vagas
82,R$ 130.000,"Camaragibe, Santa Mônica",2 quartos | 47m² | Condomínio: R$ 200 | 1 vaga
83,R$ 199.999,"Recife, Boa Viagem",1 quarto | 30m² | Condomínio: R$ 413 | 1 vaga
84,R$ 870.000,"Recife, Madalena",4 quartos | 136m² | Condomínio: R$ 1.050 | 2 vagas
85,R$ 279.167,"Recife, Santo Amaro",2 quartos | 57m² | 1 vaga
86,R$ 450.000,"Recife, Espinheiro",3 quartos | 60m² | 1 vaga
87,R$ 580.016,"Recife, Boa Viagem",3 quartos | 132m² | 2 vagas
88,R$ 2.900.000,"Recife, Boa Viagem",3 quartos | 235m² | 4 vagas
89,R$ 3.000.000,"Recife, Pina",4 quartos | 237m² | 3 vagas
90,R$ 750.000,"Recife, Boa Viagem",4 quartos | 317m² | Condomínio: R$ 1.386 | 2 vagas
91,R$ 2.600.000,"Recife, Boa Viagem",4 quartos | 217m² | 3 vagas
92,R$ 1.400.000,"Recife, Macaxeira",4 quartos | 197m² | 4 vagas
93,R$ 1.350.000,"Recife, Boa Viagem",4 quartos | 189m² | 3 vagas
94,R$ 1.250.000,"Recife, Pina",4 quartos | 123m² | Condomínio: R$ 1.052 | 2 vagas
95,R$ 2.200.000R$ 2.500.000,"Recife, Boa Viagem",4 quartos | 201m² | 3 vagas
96,R$ 400.000R$ 450.000,"Recife, Boa Viagem",3 quartos | 82m² | Condomínio: R$ 800 | 1 vaga
97,R$ 550.000,"Recife, Dois Irmãos",3 quartos | 91m² | 2 vagas
98,R$ 559.114,"Jaboatão dos Guararapes, Centro",3 quartos | 89m² | 2 vagas
99,R$ 2.250.000,"Recife, Boa Viagem",4 quartos | 220m² | Condomínio: R$ 1.900 | 3 vagas
100,R$ 3.500.000,"Recife, Pina",3 quartos | 180m² | 3 vagas
101,R$ 600.000R$ 650.000,"Recife, Rosarinho",3 quartos | 90m² | Condomínio: R$ 550 | 2 vagas
102,R$ 570.000,"Recife, Graças",2 quartos | 54m² | 1 vaga
103,R$ 750.000R$ 780.000,"Recife, Boa Viagem",4 quartos | 136m² | Condomínio: R$ 0 | 2 vagas
104,R$ 2.800.000,"Recife, Boa Viagem",5 ou mais quarto | 632m² | Condomínio: R$ 3.030 | 5 ou mais vaga
105,R$ 1.100.000,"Recife, Boa Viagem",3 quartos | 180m² | 1 vaga
106,R$ 610.000,"Recife, Boa Viagem",3 quartos | 100m² | 2 vagas
107,R$ 55.000,"Jaboatão dos Guararapes, Santana",2 quartos | Condomínio: R$ 210 | 1 vaga
108,R$ 5.000.000R$ 5.800.000,"Recife, Boa Viagem",4 quartos | 550m² | Condomínio: R$ 4.600 | 3 vagas
109,R$ 2.999.000R$ 3.000.000,"Recife, Boa Viagem",4 quartos | 427m² | Condomínio: R$ 2.800 | 3 vagas
110,R$ 188.000R$ 210.000,"Recife, Areias",3 quartos | 82m² | Condomínio: R$ 153
111,R$ 1.300.000,"Recife, Boa Viagem",3 quartos | 188m² | Condomínio: R$ 800 | 4 vagas
112,R$ 434.000R$ 439.000,"Recife, Caxangá",3 quartos | 84m² | Condomínio: R$ 617 | 2 vagas
113,R$ 380.032,Tamandaré,1 quarto | 47m² | 1 vaga
114,R$ 700.000,"Recife, Boa Vista",3 quartos | 110m² | 2 vagas
115,R$ 297.100,"Recife, Torre",2 quartos | 50m² | 2 vagas
116,R$ 680.500,"Recife, Boa Viagem",3 quartos | 97m² | 2 vagas
117,R$ 630.000,"Recife, Boa Viagem",3 quartos | 110m² | 2 vagas
118,R$ 130.000,"Jaboatão dos Guararapes, Candeias",2 quartos | 0m² | 1 vaga
119,R$ 122.286,"Jaboatão dos Guararapes, Dois Carneiros",2 quartos | 50m² | 1 vaga
120,R$ 180.000,Olinda,2 quartos | 1 vaga
121,R$ 149.000,"Paulista, Maranguape I",2 quartos | 46m² | Condomínio: R$ 0 | 1 vaga
122,R$ 630.000,"Recife, Boa Viagem",3 quartos | 125m² | 2 vagas
123,R$ 135.000,Paulista,3 quartos | 1 vaga
124,R$ 1.200.000,"Recife, Recife",4 quartos | 200m² | Condomínio: R$ 1.500 | 3 vagas
125,R$ 480.000,"Recife, Graças",2 quartos | 54m² | Condomínio: R$ 490 | 1 vaga
126,R$ 430.000R$ 4.800.000,"Recife, Rosarinho",2 quartos | 54m² | Condomínio: R$ 347 | 1 vaga
127,R$ 1.800.000,"Recife, Casa Forte",3 quartos | 200m² | 3 vagas
128,R$ 990.000R$ 1.020.000,"Recife, Apipucos",4 quartos | 158m² | Condomínio: R$ 1.000 | 3 vagas
129,R$ 130.000,"Jaboatão dos Guararapes, Piedade",3 quartos | 70m² | Condomínio: R$ 200 | 1 vaga
130,R$ 590.000,"Recife, Tamarineira",3 quartos | 69m² | 1 vaga
131,R$ 620.000,"Recife, Boa Viagem",3 quartos | 100m² | Condomínio: R$ 750 | 1 vaga
132,R$ 658.000,"Recife, Boa Viagem",3 quartos | 93m² | 2 vagas
133,R$ 150.074,"Paulista, Mirueira",2 quartos | 45m² | 1 vaga
134,R$ 230.000,"Recife, Iputinga",3 quartos | 87m² | Condomínio: R$ 300 | 1 vaga
135,R$ 139.000,"Paulista, Centro",2 quartos | 51m² | 1 vaga
136,R$ 190.000,"Recife, Boa Vista",1 quarto | 25m² | 1 vaga
137,R$ 650.000,"Recife, Boa Viagem",3 quartos | 96m² | 2 vagas
138,R$ 320.000,"Recife, Boa Viagem",3 quartos | 105m² | Condomínio: R$ 480 | 1 vaga
139,R$ 123.000,"Caruaru, Maurício de Nassau",2 quartos | 47m² | Condomínio: R$ 150 | 1 vaga
140,R$ 259.000,"Recife, Campo Grande",2 quartos | 90m² | Condomínio: R$ 430 | 1 vaga
141,R$ 130.000,"Recife, Várzea",0m²
142,R$ 165.291,"Jaboatão dos Guararapes, Candeias",2 quartos | 43m² | 1 vaga
143,R$ 689.999,"Recife, Boa Viagem",3 quartos | 102m² | 2 vagas
144,R$ 950.000,"Recife, Imbiribeira",4 quartos | 140m²
145,R$ 690.000,"Recife, Boa Viagem",3 quartos | 102m² | 2 vagas
146,R$ 369.000,"Recife, Boa Viagem",0m²
147,R$ 95.000,"Jaboatão dos Guararapes, Candeias",2 quartos | 65m² | 1 vaga
148,R$ 280.000,"Jaboatão dos Guararapes, Piedade",0m²
149,R$ 336.000,"Recife, Boa Viagem",0m²
150,R$ 3.500.000,"Ipojuca, Porto de Galinhas",0m²
151,R$ 990.000,"Recife, COHAB",0m²
152,R$ 450.000,Ipojuca,0m²
153,R$ 720.000,"Recife, Graças",0m²
154,R$ 450.000,Ipojuca,0m²
155,R$ 900.000,"Jaboatão dos Guararapes, Piedade",0m²
156,R$ 950,"Jaboatão dos Guararapes, Curado",2 quartos | 54m² | 1 vaga
157,R$ 270.000,"Jaboatão dos Guararapes, Piedade",0m²
158,R$ 725.000,Tamandaré,0m²
159,R$ 900.000,"Jaboatão dos Guararapes, Piedade",0m²
160,R$ 330.000,"Recife, Pina",1 quarto | 33m² | Condomínio: R$ 316 | 1 vaga
161,R$ 725.000,Tamandaré,0m²
162,R$ 725.000,Tamandaré,0m²
163,R$ 290.000R$ 320.000,"Jaboatão dos Guararapes, Piedade",3 quartos | 125m² | Condomínio: R$ 850 | 2 vagas
164,R$ 250.000,"Recife, Boa Viagem",0m²
165,R$ 860.000,"Recife, Boa Viagem",4 quartos | 148m² | Condomínio: R$ 1.000 | 2 vagas
166,R$ 270.000,"Jaboatão dos Guararapes, Piedade",0m²
167,R$ 2.850.000,"Cabo de Santo Agostinho, Paiva",0m²
168,R$ 900.000,"Cabo de Santo Agostinho, Paiva",0m²
169,R$ 750.000,"Cabo de Santo Agostinho, Paiva",0m²
170,R$ 312.000,"Recife, Madalena",2 quartos | 48m² | 1 vaga
171,R$ 750.000,Ipojuca,0m²
172,R$ 144.130,"Camaragibe, Alberto Maia",2 quartos | 41m² | 1 vaga
173,R$ 375.000,Tamandaré,0m²
